Data from HR4C34221__15__15-25-27-657.txt Node

Date: Wed Mar 11 15:25:27 MSK 2026
User: 123
Spectrometer: HR4C3422
Trigger mode: 4
Integration Time (sec): 3.000000E-2
Scans to average: 1
Electric dark correction enabled: true
Nonlinearity correction enabled: false
Boxcar width: 0
XAxis mode: Wavelengths
Number of Pixels in Spectrum: 3648
>>>>>Begin Spectral Data<<<<<
195.326	-64.31
195.597	-64.31
195.868	-64.31
196.139	-1.31
196.409	-9.31
196.68	-4.31
196.951	-2.31
197.221	9.69
197.492	2.69
197.762	-3.31
198.033	-5.31
198.304	-6.31
198.574	-5.31
198.845	4.69
199.116	-4.31
199.386	-0.31
199.657	-1.31
199.927	15.69
200.198	14.69
200.468	7.69
200.739	1.69
201.009	-20.31
201.28	-19.31
201.551	-4.31
201.821	1.69
202.092	13.69
202.362	-3.31
202.633	-2.31
202.903	-4.31
203.174	-5.31
203.444	5.69
203.714	4.69
203.985	-4.31
204.255	-1.31
204.526	34.69
204.796	8.69
205.067	19.69
205.337	9.69
205.607	8.69
205.878	26.69
206.148	22.69
206.419	-14.31
206.689	-0.31
206.959	9.69
207.23	-12.31
207.5	6.69
207.77	-5.31
208.041	-5.31
208.311	18.69
208.581	19.69
208.852	-16.31
209.122	-3.31
209.392	-4.31
209.663	4.69
209.933	6.69
210.203	-6.31
210.473	-2.31
210.744	6.69
211.014	4.69
211.284	-13.31
211.554	5.69
211.825	8.69
212.095	-7.31
212.365	-1.31
212.635	11.69
212.905	1.69
213.176	-22.31
213.446	4.69
213.716	12.69
213.986	-1.31
214.256	5.69
214.526	7.69
214.797	7.69
215.067	4.69
215.337	2.69
215.607	-10.31
215.877	5.69
216.147	-4.31
216.417	-4.31
216.687	4.69
216.957	9.69
217.227	-2.31
217.497	-3.31
217.767	4.69
218.038	2.69
218.308	-4.31
218.578	-0.31
218.848	-10.31
219.118	-4.31
219.388	1.69
219.658	2.69
219.928	1.69
220.198	10.69
220.468	18.69
220.737	-9.31
221.007	-6.31
221.277	10.69
221.547	-4.31
221.817	14.69
222.087	3.69
222.357	-6.31
222.627	0.69
222.897	15.69
223.167	-5.31
223.437	-2.31
223.707	15.69
223.976	13.69
224.246	1.69
224.516	2.69
224.786	2.69
225.056	-0.31
225.326	-3.31
225.595	14.69
225.865	-11.31
226.135	-3.31
226.405	-5.31
226.675	-1.31
226.944	15.69
227.214	-2.31
227.484	4.69
227.754	2.69
228.023	7.69
228.293	-0.31
228.563	-0.31
228.833	7.69
229.102	4.69
229.372	-0.31
229.642	4.69
229.911	-1.31
230.181	6.69
230.451	5.69
230.72	-5.31
230.99	-0.31
231.26	-9.31
231.529	0.69
231.799	0.69
232.069	-3.31
232.338	3.69
232.608	24.69
232.877	9.69
233.147	-14.31
233.417	-0.31
233.686	10.69
233.956	0.69
234.225	4.69
234.495	0.69
234.764	-0.31
235.034	-0.31
235.304	6.69
235.573	21.69
235.843	5.69
236.112	-11.31
236.382	-3.31
236.651	6.69
236.921	10.69
237.19	10.69
237.46	-0.31
237.729	-4.31
237.998	-2.31
238.268	-4.31
238.537	11.69
238.807	2.69
239.076	7.69
239.346	-6.31
239.615	2.69
239.884	-6.31
240.154	-5.31
240.423	6.69
240.693	-9.31
240.962	-0.31
241.231	10.69
241.501	-0.31
241.77	0.69
242.039	-3.31
242.309	-6.31
242.578	-2.31
242.847	1.69
243.116	3.69
243.386	-1.31
243.655	1.69
243.924	11.69
244.194	8.69
244.463	-1.31
244.732	7.69
245.001	-8.31
245.271	30.69
245.54	4.69
245.809	0.69
246.078	1.69
246.347	7.69
246.617	10.69
246.886	4.69
247.155	-9.31
247.424	-4.31
247.693	5.69
247.963	1.69
248.232	-3.31
248.501	12.69
248.77	-2.31
249.039	-2.31
249.308	-7.31
249.577	0.69
249.846	-13.31
250.115	-6.31
250.385	6.69
250.654	13.69
250.923	-2.31
251.192	5.69
251.461	-2.31
251.73	5.69
251.999	-22.31
252.268	-5.31
252.537	-3.31
252.806	10.69
253.075	13.69
253.344	1.69
253.613	12.69
253.882	-6.31
254.151	4.69
254.42	-4.31
254.689	10.69
254.958	0.69
255.227	-4.31
255.496	-0.31
255.765	3.69
256.033	-4.31
256.302	7.69
256.571	5.69
256.84	-6.31
257.109	2.69
257.378	3.69
257.647	-3.31
257.916	-12.31
258.184	-5.31
258.453	-4.31
258.722	2.69
258.991	1.69
259.26	16.69
259.529	-1.31
259.797	-4.31
260.066	-4.31
260.335	0.69
260.604	11.69
260.873	-0.31
261.141	6.69
261.41	-4.31
261.679	-4.31
261.948	10.69
262.216	-4.31
262.485	13.69
262.754	-0.31
263.022	9.69
263.291	8.69
263.56	3.69
263.829	-4.31
264.097	-5.31
264.366	-1.31
264.635	14.69
264.903	1.69
265.172	-4.31
265.44	-4.31
265.709	-13.31
265.978	-1.31
266.246	17.69
266.515	6.69
266.784	6.69
267.052	7.69
267.321	-6.31
267.589	55.69
267.858	6.69
268.126	-2.31
268.395	-5.31
268.663	6.69
268.932	14.69
269.201	-2.31
269.469	-2.31
269.738	7.69
270.006	-2.31
270.275	10.69
270.543	2.69
270.811	-4.31
271.08	-4.31
271.348	12.69
271.617	4.69
271.885	-9.31
272.154	-4.31
272.422	-0.31
272.691	5.69
272.959	15.69
273.227	-7.31
273.496	-4.31
273.764	5.69
274.033	-6.31
274.301	1.69
274.569	2.69
274.838	20.69
275.106	4.69
275.374	8.69
275.643	1.69
275.911	3.69
276.179	8.69
276.448	5.69
276.716	3.69
276.984	-11.31
277.252	10.69
277.521	-11.31
277.789	12.69
278.057	-5.31
278.325	4.69
278.594	4.69
278.862	6.69
279.13	1.69
279.398	2.69
279.667	-0.31
279.935	-0.31
280.203	-1.31
280.471	-13.31
280.739	4.69
281.008	2.69
281.276	1.69
281.544	3.69
281.812	1.69
282.08	9.69
282.348	1.69
282.616	9.69
282.884	-3.31
283.153	2.69
283.421	10.69
283.689	17.69
283.957	-0.31
284.225	11.69
284.493	5.69
284.761	7.69
285.029	1.69
285.297	-1.31
285.565	5.69
285.833	1.69
286.101	-2.31
286.369	-3.31
286.637	-2.31
286.905	3.69
287.173	-4.31
287.441	4.69
287.709	20.69
287.977	-2.31
288.245	-1.31
288.513	-5.31
288.781	-2.31
289.049	-3.31
289.317	-5.31
289.585	3.69
289.853	15.69
290.12	11.69
290.388	-1.31
290.656	0.69
290.924	-11.31
291.192	7.69
291.46	-18.31
291.728	-11.31
291.996	-8.31
292.263	1.69
292.531	-1.31
292.799	-1.31
293.067	-7.31
293.335	2.69
293.602	18.69
293.87	7.69
294.138	-1.31
294.406	-2.31
294.673	2.69
294.941	-1.31
295.209	-3.31
295.477	7.69
295.744	8.69
296.012	-4.31
296.28	-6.31
296.548	7.69
296.815	0.69
297.083	10.69
