195,33;-57,23
195,60;-57,23
195,87;-57,23
196,14;-27,23
196,41;2,77
196,68;-8,23
196,95;-1,23
197,22;-5,23
197,49;2,77
197,76;2,77
198,03;-11,23
198,30;7,77
198,57;8,77
198,85;9,77
199,12;6,77
199,39;-4,23
199,66;-9,23
199,93;0,77
200,20;2,77
200,47;-3,23
200,74;2,77
201,01;-8,23
201,28;3,77
201,55;-4,23
201,82;-4,23
202,09;-5,23
202,36;-4,23
202,63;-5,23
202,90;-2,23
203,17;-8,23
203,44;-12,23
203,71;-10,23
203,99;1,77
204,26;-4,23
204,53;27,77
204,80;13,77
205,07;-1,23
205,34;-7,23
205,61;-2,23
205,88;23,77
206,15;8,77
206,42;-16,23
206,69;-16,23
206,96;0,77
207,23;-13,23
207,50;6,77
207,77;-4,23
208,04;-2,23
208,31;4,77
208,58;1,77
208,85;-1,23
209,12;11,77
209,39;-4,23
209,66;-4,23
209,93;-4,23
210,20;6,77
210,47;-5,23
210,74;-12,23
211,01;13,77
211,28;-3,23
211,55;14,77
211,83;4,77
212,10;-4,23
212,37;-11,23
212,64;5,77
212,91;-8,23
213,18;4,77
213,45;11,77
213,72;-2,23
213,99;6,77
214,26;-2,23
214,53;-13,23
214,80;13,77
215,07;-1,23
215,34;7,77
215,61;-0,23
215,88;-5,23
216,15;3,77
216,42;-9,23
216,69;-7,23
216,96;-7,23
217,23;-9,23
217,50;-4,23
217,77;-15,23
218,04;10,77
218,31;3,77
218,58;1,77
218,85;-2,23
219,12;4,77
219,39;-2,23
219,66;1,77
219,93;11,77
220,20;1,77
220,47;-5,23
220,74;-0,23
221,01;8,77
221,28;13,77
221,55;-11,23
221,82;-3,23
222,09;-3,23
222,36;0,77
222,63;0,77
222,90;0,77
223,17;-11,23
223,44;-3,23
223,71;-5,23
223,98;5,77
224,25;3,77
224,52;-9,23
224,79;2,77
225,06;0,77
225,33;-6,23
225,60;-0,23
225,87;5,77
226,14;4,77
226,41;0,77
226,68;4,77
226,94;5,77
227,21;10,77
227,48;-5,23
227,75;-0,23
228,02;-11,23
228,29;-10,23
228,56;1,77
228,83;-1,23
229,10;5,77
229,37;-4,23
229,64;-6,23
229,91;3,77
230,18;-3,23
230,45;-5,23
230,72;-1,23
230,99;-5,23
231,26;-16,23
231,53;3,77
231,80;5,77
232,07;-4,23
232,34;4,77
232,61;-7,23
232,88;-10,23
233,15;-9,23
233,42;6,77
233,69;15,77
233,96;-6,23
234,23;-4,23
234,50;-18,23
234,76;5,77
235,03;3,77
235,30;7,77
235,57;26,77
235,84;-13,23
236,11;0,77
236,38;-14,23
236,65;6,77
236,92;3,77
237,19;-0,23
237,46;-2,23
237,73;0,77
238,00;-0,23
238,27;1,77
238,54;4,77
238,81;0,77
239,08;-10,23
239,35;-1,23
239,62;-11,23
239,88;-1,23
240,15;12,77
240,42;-2,23
240,69;6,77
240,96;-5,23
241,23;-8,23
241,50;-6,23
241,77;2,77
242,04;-10,23
242,31;0,77
242,58;-4,23
242,85;-1,23
243,12;0,77
243,39;9,77
243,66;-4,23
243,92;-16,23
244,19;-4,23
244,46;15,77
244,73;7,77
245,00;-6,23
245,27;31,77
245,54;7,77
245,81;-12,23
246,08;-7,23
246,35;5,77
246,62;2,77
246,89;6,77
247,16;2,77
247,42;2,77
247,69;-3,23
247,96;-4,23
248,23;0,77
248,50;8,77
248,77;-0,23
249,04;-12,23
249,31;-3,23
249,58;-1,23
249,85;-3,23
250,12;-6,23
250,39;4,77
250,65;-1,23
250,92;11,77
251,19;-11,23
251,46;1,77
251,73;-1,23
252,00;7,77
252,27;-4,23
252,54;-12,23
252,81;-6,23
253,08;-7,23
253,34;0,77
253,61;0,77
253,88;-13,23
254,15;-8,23
254,42;-2,23
254,69;-6,23
254,96;-3,23
255,23;-0,23
255,50;4,77
255,77;9,77
256,03;-9,23
256,30;-4,23
256,57;-13,23
256,84;-9,23
257,11;13,77
257,38;2,77
257,65;-16,23
257,92;-8,23
258,18;5,77
258,45;2,77
258,72;12,77
258,99;2,77
259,26;-13,23
259,53;-7,23
259,80;8,77
260,07;8,77
260,34;-1,23
260,60;-11,23
260,87;-11,23
261,14;-11,23
261,41;-17,23
261,68;-9,23
261,95;11,77
262,22;2,77
262,49;7,77
262,75;-3,23
263,02;1,77
263,29;-4,23
263,56;-4,23
263,83;-11,23
264,10;-7,23
264,37;-0,23
264,64;1,77
264,90;-2,23
265,17;3,77
265,44;4,77
265,71;8,77
265,98;-11,23
266,25;6,77
266,52;6,77
266,78;-7,23
267,05;-7,23
267,32;-20,23
267,59;29,77
267,86;2,77
268,13;5,77
268,40;-11,23
268,66;5,77
268,93;-12,23
269,20;-1,23
269,47;-2,23
269,74;-8,23
270,01;-4,23
270,28;7,77
270,54;-7,23
270,81;-5,23
271,08;-7,23
271,35;6,77
271,62;4,77
271,89;-9,23
272,15;-6,23
272,42;-3,23
272,69;-1,23
272,96;17,77
273,23;8,77
273,50;5,77
273,76;-4,23
274,03;-0,23
274,30;1,77
274,57;-3,23
274,84;0,77
275,11;-7,23
275,37;7,77
275,64;14,77
275,91;5,77
276,18;3,77
276,45;-3,23
276,72;7,77
276,98;1,77
277,25;-11,23
277,52;-16,23
277,79;-1,23
278,06;0,77
278,33;-8,23
278,59;-4,23
278,86;3,77
279,13;-8,23
279,40;-4,23
279,67;-9,23
279,94;2,77
280,20;13,77
280,47;10,77
280,74;-9,23
281,01;-5,23
281,28;-1,23
281,54;1,77
281,81;-10,23
282,08;-1,23
282,35;5,77
282,62;11,77
282,88;-9,23
283,15;2,77
283,42;-9,23
283,69;-2,23
283,96;-2,23
284,23;5,77
284,49;1,77
284,76;-5,23
285,03;6,77
285,30;-11,23
285,57;-2,23
285,83;-17,23
286,10;3,77
286,37;-14,23
286,64;-1,23
286,91;1,77
287,17;-2,23
287,44;-5,23
287,71;-2,23
287,98;-0,23
288,25;-11,23
288,51;2,77
288,78;2,77
289,05;-2,23
289,32;-6,23
289,59;4,77
289,85;8,77
290,12;-5,23
290,39;-8,23
290,66;-6,23
290,92;-1,23
291,19;-3,23
291,46;6,77
291,73;-7,23
292,00;7,77
292,26;2,77
292,53;7,77
292,80;-2,23
293,07;-6,23
293,34;-3,23
293,60;3,77
293,87;1,77
294,14;-10,23
294,41;-0,23
294,67;0,77
294,94;-8,23
295,21;-14,23
295,48;0,77
295,74;7,77
296,01;5,77
296,28;5,77
296,55;5,77
296,82;4,77
297,08;-6,23
297,35;-8,23
297,62;1,77
297,89;-15,23
298,15;-2,23
298,42;-4,23
298,69;-0,23
298,96;5,77
299,22;-1,23
299,49;-1,23
299,76;-7,23
300,03;-2,23
300,29;1,77
300,56;2,77
300,83;-0,23
301,10;13,77
301,37;-1,23
301,63;-5,23
301,90;-3,23
302,17;-6,23
302,44;-1,23
302,70;0,77
302,97;11,77
303,24;15,77
303,51;3,77
303,77;11,77
304,04;13,77
304,31;-4,23
304,58;0,77
304,84;-6,23
305,11;10,77
305,38;8,77
305,65;3,77
305,91;-10,23
306,18;-14,23
306,45;-12,23
306,71;-8,23
306,98;-3,23
307,25;9,77
307,52;7,77
307,78;-6,23
308,05;-1,23
308,32;16,77
308,59;-4,23
308,85;-10,23
309,12;-10,23
309,39;-6,23
309,66;4,77
309,92;-1,23
310,19;-7,23
310,46;-4,23
310,72;-7,23
310,99;-4,23
311,26;-1,23
311,53;-3,23
311,79;-10,23
312,06;-9,23
312,33;-0,23
312,60;3,77
312,86;-2,23
313,13;5,77
313,40;4,77
313,66;5,77
313,93;7,77
314,20;-0,23
314,47;-7,23
314,73;-8,23
315,00;-4,23
315,27;1,77
315,53;-2,23
315,80;-3,23
316,07;-4,23
316,34;7,77
316,60;4,77
316,87;-11,23
317,14;-10,23
317,40;4,77
317,67;-4,23
317,94;9,77
318,20;-5,23
318,47;-15,23
318,74;-6,23
319,01;1,77
319,27;-13,23
319,54;1,77
319,81;-5,23
320,07;1,77
320,34;-9,23
320,61;8,77
320,87;-5,23
321,14;-1,23
321,41;10,77
321,68;5,77
321,94;8,77
322,21;-6,23
322,48;7,77
322,74;0,77
323,01;0,77
323,28;-6,23
323,54;-0,23
323,81;13,77
324,08;-2,23
324,34;-6,23
324,61;-3,23
324,88;-1,23
325,15;-4,23
325,41;-2,23
325,68;-11,23
325,95;3,77
326,21;-15,23
326,48;-7,23
326,75;0,77
327,01;-0,23
327,28;-10,23
327,55;-9,23
327,81;-2,23
328,08;5,77
328,35;-3,23
328,61;3,77
328,88;0,77
329,15;11,77
329,41;7,77
329,68;-9,23
329,95;-4,23
330,21;7,77
330,48;-16,23
330,75;-9,23
331,01;-4,23
331,28;1,77
331,55;-7,23
331,81;-12,23
332,08;-2,23
332,35;1,77
332,61;-0,23
332,88;-4,23
333,15;-3,23
333,41;-8,23
333,68;-10,23
333,95;-4,23
334,21;-0,23
334,48;3,77
334,75;7,77
335,01;0,77
335,28;-7,23
335,55;7,77
335,81;-3,23
336,08;14,77
336,34;1,77
336,61;1,77
336,88;-4,23
337,14;-7,23
337,41;-13,23
337,68;8,77
337,94;6,77
338,21;-9,23
338,48;-1,23
338,74;-9,23
339,01;-1,23
339,28;-8,23
339,54;-10,23
339,81;-9,23
340,07;-2,23
340,34;-13,23
340,61;-15,23
340,87;2,77
341,14;-6,23
341,41;-20,23
341,67;-17,23
341,94;-17,23
342,21;-0,23
342,47;-13,23
342,74;-1,23
343,00;4,77
343,27;5,77
343,54;6,77
343,80;4,77
344,07;-12,23
344,34;-2,23
344,60;3,77
344,87;-0,23
345,13;15,77
345,40;0,77
345,67;-6,23
345,93;-7,23
346,20;1,77
346,47;2,77
346,73;0,77
347,00;-4,23
347,26;2,77
347,53;-3,23
347,80;-5,23
348,06;-3,23
348,33;-11,23
348,59;-13,23
348,86;0,77
349,13;5,77
349,39;-6,23
349,66;3,77
349,93;-4,23
350,19;-6,23
350,46;-5,23
350,72;2,77
350,99;-9,23
351,26;-10,23
351,52;-7,23
351,79;-25,23
352,05;-9,23
352,32;13,77
352,59;1,77
352,85;-2,23
353,12;3,77
353,38;7,77
353,65;5,77
353,92;-12,23
354,18;-3,23
354,45;-0,23
354,71;-4,23
354,98;-11,23
355,24;3,77
355,51;2,77
355,78;0,77
356,04;6,77
356,31;9,77
356,57;-9,23
356,84;-13,23
357,11;-10,23
357,37;-15,23
357,64;-0,23
357,90;-9,23
358,17;-0,23
358,44;-15,23
358,70;-8,23
358,97;-11,23
359,23;17,77
359,50;-8,23
359,76;3,77
360,03;2,77
360,30;-3,23
360,56;-17,23
360,83;-9,23
