Data from HR4C34221__9__15-35-12-951.txt Node

Date: Fri Mar 06 15:35:12 MSK 2026
User: 123
Spectrometer: HR4C3422
Trigger mode: 4
Integration Time (sec): 3.000000E-2
Scans to average: 1
Electric dark correction enabled: true
Nonlinearity correction enabled: false
Boxcar width: 0
XAxis mode: Wavelengths
Number of Pixels in Spectrum: 3648
>>>>>Begin Spectral Data<<<<<
195.326	-50.15
195.597	-50.15
195.868	-50.15
196.139	-17.15
196.409	6.85
196.68	5.85
196.951	-4.15
197.221	-3.15
197.492	4.85
197.762	6.85
198.033	-13.15
198.304	11.85
198.574	-15.15
198.845	-11.15
199.116	-6.15
199.386	5.85
199.657	1.85
199.927	15.85
200.198	5.85
200.468	-0.15
200.739	12.85
201.009	2.85
201.28	-9.15
201.551	-5.15
201.821	-5.15
202.092	-2.15
202.362	-4.15
202.633	2.85
202.903	4.85
203.174	2.85
203.444	-3.15
203.714	-10.15
203.985	-6.15
204.255	1.85
204.526	38.85
204.796	-16.15
205.067	-4.15
205.337	-12.15
205.607	1.85
205.878	14.85
206.148	17.85
206.419	6.85
206.689	3.85
206.959	0.85
207.23	-8.15
207.5	7.85
207.77	14.85
208.041	-5.15
208.311	9.85
208.581	2.85
208.852	3.85
209.122	7.85
209.392	2.85
209.663	-0.15
209.933	-6.15
210.203	-7.15
210.473	-8.15
210.744	-8.15
211.014	-5.15
211.284	-3.15
211.554	0.85
211.825	1.85
212.095	0.85
212.365	-9.15
212.635	-13.15
212.905	-7.15
213.176	-7.15
213.446	17.85
213.716	-3.15
213.986	0.85
214.256	5.85
214.526	-12.15
214.797	3.85
215.067	4.85
215.337	10.85
215.607	3.85
215.877	2.85
216.147	-4.15
216.417	-3.15
216.687	-0.15
216.957	19.85
217.227	2.85
217.497	-2.15
217.767	-5.15
218.038	10.85
218.308	-1.15
218.578	0.85
218.848	2.85
219.118	-1.15
219.388	-3.15
219.658	2.85
219.928	9.85
220.198	-11.15
220.468	-0.15
220.737	-7.15
221.007	-18.15
221.277	-5.15
221.547	-6.15
221.817	-6.15
222.087	-6.15
222.357	-14.15
222.627	1.85
222.897	3.85
223.167	-2.15
223.437	-8.15
223.707	5.85
223.976	-1.15
224.246	-6.15
224.516	13.85
224.786	7.85
225.056	-7.15
225.326	0.85
225.595	4.85
225.865	-7.15
