  Measurement Number     Measurement type
               14969                DC IV

      Measurement ID             SeriesID
       740024.678972                    0

         MeasureMode                Bias1                Bias2
                   1                   -3                    3

                Step  Positive compliance  Negative compliance
                0.05                  0.1                  0.1

  RealMeasuredPoints
                 242

        Bias        Current     Resistance
-3.0000e+00   -1.9394e-05   1.5469e+05
-2.9500e+00   -1.9354e-05   1.5242e+05
-2.9000e+00   -1.9312e-05   1.5017e+05
-2.8500e+00   -1.9272e-05   1.4788e+05
-2.8000e+00   -1.9228e-05   1.4562e+05
-2.7500e+00   -1.9186e-05   1.4333e+05
-2.7000e+00   -1.9136e-05   1.4110e+05
-2.6500e+00   -1.9092e-05   1.3880e+05
-2.6000e+00   -1.9042e-05   1.3654e+05
-2.5500e+00   -1.8992e-05   1.3427e+05
-2.5000e+00   -1.8942e-05   1.3198e+05
-2.4500e+00   -1.8890e-05   1.2970e+05
-2.4000e+00   -1.8832e-05   1.2744e+05
-2.3500e+00   -1.8774e-05   1.2517e+05
-2.3000e+00   -1.8718e-05   1.2288e+05
-2.2500e+00   -1.8652e-05   1.2063e+05
-2.2000e+00   -1.8586e-05   1.1837e+05
-2.1500e+00   -1.8522e-05   1.1608e+05
-2.1000e+00   -1.8450e-05   1.1382e+05
-2.0500e+00   -1.8376e-05   1.1156e+05
-2.0000e+00   -1.8298e-05   1.0930e+05
-1.9500e+00   -1.8218e-05   1.0704e+05
-1.9000e+00   -1.8132e-05   1.0479e+05
-1.8500e+00   -1.8046e-05   1.0252e+05
-1.8000e+00   -1.7952e-05   1.0027e+05
-1.7500e+00   -1.7860e-05   9.7984e+04
-1.7000e+00   -1.7760e-05   9.5721e+04
-1.6500e+00   -1.7652e-05   9.3474e+04
-1.6000e+00   -1.7542e-05   9.1210e+04
-1.5500e+00   -1.7424e-05   8.8958e+04
-1.5000e+00   -1.7302e-05   8.6695e+04
-1.4500e+00   -1.7172e-05   8.4440e+04
-1.4000e+00   -1.7036e-05   8.2179e+04
-1.3500e+00   -1.6890e-05   7.9929e+04
-1.3000e+00   -1.6736e-05   7.7677e+04
-1.2500e+00   -1.6574e-05   7.5419e+04
-1.2000e+00   -1.6406e-05   7.3144e+04
-1.1500e+00   -1.6226e-05   7.0874e+04
-1.1000e+00   -1.6032e-05   6.8613e+04
-1.0500e+00   -1.5828e-05   6.6338e+04
-1.0000e+00   -1.5608e-05   6.4070e+04
-9.5000e-01   -1.5376e-05   6.1785e+04
-9.0000e-01   -1.5132e-05   5.9477e+04
-8.5000e-01   -1.4870e-05   5.7162e+04
-8.0000e-01   -1.4588e-05   5.4840e+04
-7.5000e-01   -1.4292e-05   5.2477e+04
-7.0000e-01   -1.3976e-05   5.0086e+04
-6.5000e-01   -1.3634e-05   4.7675e+04
-6.0000e-01   -1.3272e-05   4.5208e+04
-5.5000e-01   -1.2882e-05   4.2695e+04
-5.0000e-01   -1.2466e-05   4.0109e+04
-4.5000e-01   -1.2018e-05   3.7444e+04
-4.0000e-01   -1.1540e-05   3.4662e+04
-3.5000e-01   -1.1028e-05   3.1737e+04
-3.0000e-01   -1.0476e-05   2.8637e+04
-2.5000e-01   -9.8872e-06   2.5285e+04
-2.0000e-01   -9.2481e-06   2.1626e+04
-1.5000e-01   -8.5599e-06   1.7524e+04
-1.0000e-01   -7.8167e-06   1.2793e+04
-5.0000e-02   -7.0158e-06   7.1268e+03
0.0000e+00   -6.1491e-06   -0.0000e+00
5.0000e-02   -5.2105e-06   -9.5960e+03
1.0000e-01   -4.1962e-06   -2.3831e+04
1.5000e-01   -3.1071e-06   -4.8277e+04
2.0000e-01   -1.9104e-06   -1.0469e+05
2.5000e-01   -3.7788e-07   -6.6159e+05
3.0000e-01   2.4992e-06   1.2004e+05
3.5000e-01   9.1983e-06   3.8051e+04
4.0000e-01   2.1706e-05   1.8428e+04
4.5000e-01   3.9614e-05   1.1360e+04
5.0000e-01   6.1008e-05   8.1956e+03
5.5000e-01   8.4906e-05   6.4778e+03
6.0000e-01   1.1044e-04   5.4328e+03
6.5000e-01   1.3690e-04   4.7480e+03
7.0000e-01   1.6444e-04   4.2569e+03
7.5000e-01   1.9256e-04   3.8949e+03
8.0000e-01   2.2114e-04   3.6176e+03
8.5000e-01   2.4994e-04   3.4008e+03
9.0000e-01   2.7916e-04   3.2240e+03
9.5000e-01   3.0868e-04   3.0776e+03
1.0000e+00   3.3800e-04   2.9586e+03
1.0500e+00   3.6788e-04   2.8542e+03
1.1000e+00   3.9748e-04   2.7674e+03
1.1500e+00   4.2774e-04   2.6885e+03
1.2000e+00   4.5822e-04   2.6188e+03
1.2500e+00   4.8922e-04   2.5551e+03
1.3000e+00   5.2024e-04   2.4988e+03
1.3500e+00   5.5022e-04   2.4536e+03
1.4000e+00   5.8170e-04   2.4067e+03
1.4500e+00   6.1182e-04   2.3700e+03
1.5000e+00   6.4282e-04   2.3335e+03
1.5500e+00   6.7310e-04   2.3028e+03
1.6000e+00   7.0244e-04   2.2778e+03
1.6500e+00   7.3478e-04   2.2456e+03
1.7000e+00   7.6436e-04   2.2241e+03
1.7500e+00   7.9300e-04   2.2068e+03
1.8000e+00   8.2474e-04   2.1825e+03
1.8500e+00   8.5494e-04   2.1639e+03
1.9000e+00   8.8758e-04   2.1407e+03
1.9500e+00   9.1500e-04   2.1311e+03
2.0000e+00   9.4796e-04   2.1098e+03
2.0500e+00   9.7752e-04   2.0971e+03
2.1000e+00   1.0130e-03   2.0731e+03
2.1500e+00   1.0665e-03   2.0160e+03
2.2000e+00   1.1096e-03   1.9828e+03
2.2500e+00   1.1317e-03   1.9882e+03
2.3000e+00   1.3434e-03   1.7121e+03
2.3500e+00   1.3788e-03   1.7044e+03
2.4000e+00   1.4148e-03   1.6964e+03
2.4500e+00   1.4502e-03   1.6894e+03
2.5000e+00   1.4876e-03   1.6806e+03
2.5500e+00   1.5238e-03   1.6734e+03
2.6000e+00   1.5604e-03   1.6662e+03
2.6500e+00   1.5966e-03   1.6598e+03
2.7000e+00   1.6332e-03   1.6532e+03
2.7500e+00   1.6700e-03   1.6467e+03
2.8000e+00   1.7070e-03   1.6403e+03
2.8500e+00   1.7430e-03   1.6351e+03
2.9000e+00   1.7804e-03   1.6288e+03
2.9500e+00   1.8158e-03   1.6246e+03
3.0000e+00   1.8508e-03   1.6209e+03
3.0000e+00   1.8496e-03   1.6220e+03
2.9500e+00   1.8136e-03   1.6266e+03
2.9000e+00   1.7774e-03   1.6316e+03
2.8500e+00   1.7420e-03   1.6361e+03
2.8000e+00   1.7064e-03   1.6409e+03
2.7500e+00   1.6704e-03   1.6463e+03
2.7000e+00   1.6346e-03   1.6518e+03
2.6500e+00   1.5984e-03   1.6579e+03
2.6000e+00   1.5620e-03   1.6645e+03
2.5500e+00   1.5258e-03   1.6713e+03
2.5000e+00   1.4894e-03   1.6785e+03
2.4500e+00   1.4530e-03   1.6862e+03
2.4000e+00   1.4166e-03   1.6942e+03
2.3500e+00   1.3802e-03   1.7027e+03
2.3000e+00   1.3436e-03   1.7118e+03
2.2500e+00   1.3068e-03   1.7218e+03
2.2000e+00   1.2704e-03   1.7317e+03
2.1500e+00   1.2336e-03   1.7429e+03
2.1000e+00   1.1968e-03   1.7547e+03
2.0500e+00   1.1602e-03   1.7669e+03
2.0000e+00   1.1232e-03   1.7806e+03
1.9500e+00   1.0864e-03   1.7949e+03
1.9000e+00   1.0496e-03   1.8102e+03
1.8500e+00   1.0130e-03   1.8263e+03
1.8000e+00   9.7598e-04   1.8443e+03
1.7500e+00   9.3912e-04   1.8634e+03
1.7000e+00   9.0230e-04   1.8841e+03
1.6500e+00   8.6548e-04   1.9065e+03
1.6000e+00   8.2868e-04   1.9308e+03
1.5500e+00   7.9196e-04   1.9572e+03
1.5000e+00   7.5520e-04   1.9862e+03
1.4500e+00   7.1864e-04   2.0177e+03
1.4000e+00   6.8208e-04   2.0525e+03
1.3500e+00   6.4558e-04   2.0911e+03
1.3000e+00   6.0924e-04   2.1338e+03
1.2500e+00   5.7302e-04   2.1814e+03
1.2000e+00   5.3696e-04   2.2348e+03
1.1500e+00   5.0100e-04   2.2954e+03
1.1000e+00   4.6528e-04   2.3642e+03
1.0500e+00   4.2978e-04   2.4431e+03
1.0000e+00   3.9450e-04   2.5349e+03
9.5000e-01   3.5954e-04   2.6423e+03
9.0000e-01   3.2488e-04   2.7703e+03
8.5000e-01   2.9050e-04   2.9260e+03
8.0000e-01   2.5648e-04   3.1192e+03
7.5000e-01   2.2290e-04   3.3647e+03
7.0000e-01   1.8980e-04   3.6881e+03
6.5000e-01   1.5746e-04   4.1280e+03
6.0000e-01   1.2608e-04   4.7589e+03
5.5000e-01   9.6170e-05   5.7190e+03
5.0000e-01   6.8190e-05   7.3325e+03
4.5000e-01   4.3326e-05   1.0386e+04
4.0000e-01   2.3054e-05   1.7351e+04
3.5000e-01   9.3765e-06   3.7327e+04
3.0000e-01   2.4315e-06   1.2338e+05
2.5000e-01   -4.3516e-07   -5.7450e+05
2.0000e-01   -1.9575e-06   -1.0217e+05
1.5000e-01   -3.1596e-06   -4.7474e+04
1.0000e-01   -4.2532e-06   -2.3512e+04
5.0000e-02   -5.2692e-06   -9.4891e+03
0.0000e+00   -6.2074e-06   -0.0000e+00
-5.0000e-02   -7.0740e-06   7.0681e+03
-1.0000e-01   -7.8749e-06   1.2699e+04
-1.5000e-01   -8.6165e-06   1.7408e+04
-2.0000e-01   -9.3031e-06   2.1498e+04
-2.5000e-01   -9.9395e-06   2.5152e+04
-3.0000e-01   -1.0530e-05   2.8489e+04
-3.5000e-01   -1.1080e-05   3.1587e+04
-4.0000e-01   -1.1582e-05   3.4536e+04
-4.5000e-01   -1.2058e-05   3.7320e+04
-5.0000e-01   -1.2506e-05   3.9981e+04
-5.5000e-01   -1.2918e-05   4.2576e+04
-6.0000e-01   -1.3304e-05   4.5099e+04
-6.5000e-01   -1.3664e-05   4.7570e+04
-7.0000e-01   -1.4004e-05   4.9986e+04
-7.5000e-01   -1.4318e-05   5.2382e+04
-8.0000e-01   -1.4616e-05   5.4735e+04
-8.5000e-01   -1.4892e-05   5.7078e+04
-9.0000e-01   -1.5152e-05   5.9398e+04
-9.5000e-01   -1.5394e-05   6.1712e+04
-1.0000e+00   -1.5626e-05   6.3996e+04
-1.0500e+00   -1.5838e-05   6.6296e+04
-1.1000e+00   -1.6042e-05   6.8570e+04
-1.1500e+00   -1.6230e-05   7.0856e+04
-1.2000e+00   -1.6412e-05   7.3117e+04
-1.2500e+00   -1.6578e-05   7.5401e+04
-1.3000e+00   -1.6738e-05   7.7668e+04
-1.3500e+00   -1.6892e-05   7.9919e+04
-1.4000e+00   -1.7032e-05   8.2198e+04
-1.4500e+00   -1.7164e-05   8.4479e+04
-1.5000e+00   -1.7294e-05   8.6735e+04
-1.5500e+00   -1.7414e-05   8.9009e+04
-1.6000e+00   -1.7530e-05   9.1272e+04
-1.6500e+00   -1.7640e-05   9.3537e+04
-1.7000e+00   -1.7740e-05   9.5829e+04
-1.7500e+00   -1.7836e-05   9.8116e+04
-1.8000e+00   -1.7932e-05   1.0038e+05
-1.8500e+00   -1.8018e-05   1.0268e+05
-1.9000e+00   -1.8106e-05   1.0494e+05
-1.9500e+00   -1.8184e-05   1.0724e+05
-2.0000e+00   -1.8264e-05   1.0951e+05
-2.0500e+00   -1.8336e-05   1.1180e+05
-2.1000e+00   -1.8408e-05   1.1408e+05
-2.1500e+00   -1.8476e-05   1.1637e+05
-2.2000e+00   -1.8540e-05   1.1866e+05
-2.2500e+00   -1.8600e-05   1.2097e+05
-2.3000e+00   -1.8660e-05   1.2326e+05
-2.3500e+00   -1.8718e-05   1.2555e+05
-2.4000e+00   -1.8772e-05   1.2785e+05
-2.4500e+00   -1.8822e-05   1.3017e+05
-2.5000e+00   -1.8874e-05   1.3246e+05
-2.5500e+00   -1.8922e-05   1.3476e+05
-2.6000e+00   -1.8970e-05   1.3706e+05
-2.6500e+00   -1.9010e-05   1.3940e+05
-2.7000e+00   -1.9056e-05   1.4169e+05
-2.7500e+00   -1.9098e-05   1.4399e+05
-2.8000e+00   -1.9140e-05   1.4629e+05
-2.8500e+00   -1.9182e-05   1.4858e+05
-2.9000e+00   -1.9214e-05   1.5093e+05
-2.9500e+00   -1.9250e-05   1.5325e+05
-3.0000e+00   -1.9288e-05   1.5554e+05
