  Measurement Number     Measurement type
               14981                DC IV

      Measurement ID             SeriesID
       740024.698994                    0

         MeasureMode                Bias1                Bias2
                   1                   -4                    4

                Step  Positive compliance  Negative compliance
                0.05                  0.1                  0.1

  RealMeasuredPoints
                 322

        Bias        Current     Resistance
-4.0000e+00   -1.6738e-08   2.3897e+08
-3.9500e+00   -1.3827e-08   2.8567e+08
-3.9000e+00   -1.1557e-08   3.3746e+08
-3.8500e+00   -9.6736e-09   3.9799e+08
-3.8000e+00   -7.3686e-09   5.1570e+08
-3.7500e+00   -4.1904e-09   8.9490e+08
-3.7000e+00   -1.7505e-09   2.1137e+09
-3.6500e+00   -9.0230e-11   4.0452e+10
-3.6000e+00   -1.0329e-09   3.4853e+09
-3.5500e+00   -8.3450e-10   4.2540e+09
-3.5000e+00   -1.8585e-09   1.8832e+09
-3.4500e+00   -2.0928e-09   1.6485e+09
-3.4000e+00   -1.7276e-09   1.9680e+09
-3.3500e+00   -1.7725e-09   1.8900e+09
-3.3000e+00   -2.2867e-09   1.4431e+09
-3.2500e+00   -2.6020e-09   1.2490e+09
-3.2000e+00   -4.9130e-09   6.5133e+08
-3.1500e+00   -1.2576e-09   2.5048e+09
-3.1000e+00   -1.1344e-09   2.7327e+09
-3.0500e+00   -9.0460e-10   3.3717e+09
-3.0000e+00   -6.4090e-10   4.6809e+09
-2.9500e+00   -1.7884e-10   1.6495e+10
-2.9000e+00   -3.3121e-10   8.7558e+09
-2.8500e+00   -4.5594e-10   6.2508e+09
-2.8000e+00   -1.6109e-10   1.7382e+10
-2.7500e+00   -1.7153e-10   1.6032e+10
-2.7000e+00   -1.5018e-10   1.7978e+10
-2.6500e+00   -1.4957e-10   1.7717e+10
-2.6000e+00   1.9150e-10   -1.3577e+10
-2.5500e+00   2.9090e-10   -8.7659e+09
-2.5000e+00   -1.2144e-10   2.0586e+10
-2.4500e+00   -1.2100e-11   2.0248e+11
-2.4000e+00   4.3290e-10   -5.5440e+09
-2.3500e+00   -1.3160e-11   1.7857e+11
-2.3000e+00   6.0390e-11   -3.8086e+10
-2.2500e+00   -2.0740e-11   1.0849e+11
-2.2000e+00   2.3640e-11   -9.3063e+10
-2.1500e+00   3.2040e-11   -6.7104e+10
-2.1000e+00   3.3000e-11   -6.3636e+10
-2.0500e+00   -1.4836e-10   1.3818e+10
-2.0000e+00   3.7570e-11   -5.3234e+10
-1.9500e+00   5.6270e-11   -3.4654e+10
-1.9000e+00   6.7900e-11   -2.7982e+10
-1.8500e+00   4.3470e-11   -4.2558e+10
-1.8000e+00   2.7395e-10   -6.5705e+09
-1.7500e+00   6.7480e-11   -2.5934e+10
-1.7000e+00   5.5080e-11   -3.0864e+10
-1.6500e+00   4.3480e-11   -3.7948e+10
-1.6000e+00   4.2070e-10   -3.8032e+09
-1.5500e+00   4.7880e-11   -3.2373e+10
-1.5000e+00   6.5490e-11   -2.2904e+10
-1.4500e+00   5.9330e-11   -2.4440e+10
-1.4000e+00   7.1110e-11   -1.9688e+10
-1.3500e+00   7.2090e-11   -1.8727e+10
-1.3000e+00   5.9860e-11   -2.1717e+10
-1.2500e+00   7.3480e-11   -1.7011e+10
