  Measurement Number     Measurement type
               14982                DC IV

      Measurement ID             SeriesID
       740024.699494                    0

         MeasureMode                Bias1                Bias2
                   1                   -5                    5

                Step  Positive compliance  Negative compliance
                0.05                  0.1                  0.1

  RealMeasuredPoints
                 402

        Bias        Current     Resistance
-5.0000e+00   -7.2877e-08   6.8609e+07
-4.9500e+00   -7.0518e-08   7.0195e+07
-4.9000e+00   -4.9907e-08   9.8183e+07
-4.8500e+00   -5.9771e-08   8.1143e+07
-4.8000e+00   -4.5505e-08   1.0548e+08
-4.7500e+00   -4.4326e-08   1.0716e+08
-4.7000e+00   -5.3621e-08   8.7653e+07
-4.6500e+00   -4.7755e-08   9.7373e+07
-4.6000e+00   -3.7606e-08   1.2232e+08
-4.5500e+00   -3.8383e-08   1.1854e+08
-4.5000e+00   -3.6068e-08   1.2476e+08
-4.4500e+00   -2.5574e-08   1.7400e+08
-4.4000e+00   -2.4021e-08   1.8317e+08
-4.3500e+00   -2.4621e-08   1.7668e+08
-4.3000e+00   -2.8105e-08   1.5300e+08
-4.2500e+00   -2.2400e-08   1.8974e+08
-4.2000e+00   -1.8082e-08   2.3227e+08
-4.1500e+00   -1.7822e-08   2.3286e+08
-4.1000e+00   -2.4074e-08   1.7031e+08
-4.0500e+00   -1.7008e-08   2.3812e+08
-4.0000e+00   -2.0902e-08   1.9137e+08
-3.9500e+00   -1.4760e-08   2.6762e+08
-3.9000e+00   -1.4234e-08   2.7400e+08
-3.8500e+00   -1.3397e-08   2.8737e+08
-3.8000e+00   -1.1934e-08   3.1842e+08
-3.7500e+00   -1.1227e-08   3.3403e+08
-3.7000e+00   -1.1818e-08   3.1308e+08
-3.6500e+00   -1.1048e-08   3.3038e+08
-3.6000e+00   -9.5616e-09   3.7651e+08
-3.5500e+00   -9.1064e-09   3.8984e+08
-3.5000e+00   -2.1941e-08   1.5952e+08
-3.4500e+00   -8.7650e-09   3.9361e+08
-3.4000e+00   -7.9538e-09   4.2747e+08
-3.3500e+00   -9.0505e-09   3.7015e+08
-3.3000e+00   -8.2544e-09   3.9979e+08
-3.2500e+00   -6.9674e-09   4.6646e+08
-3.2000e+00   -5.4247e-09   5.8989e+08
-3.1500e+00   -7.7059e-09   4.0878e+08
-3.1000e+00   -6.8155e-09   4.5485e+08
-3.0500e+00   -6.3420e-09   4.8092e+08
-3.0000e+00   -6.1451e-09   4.8819e+08
-2.9500e+00   -5.2527e-09   5.6162e+08
-2.9000e+00   -4.8540e-09   5.9745e+08
-2.8500e+00   -5.0367e-09   5.6585e+08
-2.8000e+00   -5.9624e-09   4.6961e+08
-2.7500e+00   -4.2390e-09   6.4874e+08
-2.7000e+00   -5.1530e-09   5.2397e+08
-2.6500e+00   -4.2909e-09   6.1759e+08
-2.6000e+00   -4.1862e-09   6.2109e+08
-2.5500e+00   -2.6672e-09   9.5606e+08
-2.5000e+00   -2.4840e-09   1.0064e+09
-2.4500e+00   -1.9913e-09   1.2304e+09
-2.4000e+00   -1.4456e-09   1.6602e+09
-2.3500e+00   -1.1994e-09   1.9593e+09
-2.3000e+00   -1.0461e-09   2.1986e+09
-2.2500e+00   -1.3001e-09   1.7306e+09
-2.2000e+00   -1.1163e-09   1.9708e+09
-2.1500e+00   -1.0798e-09   1.9911e+09
-2.1000e+00   -1.0616e-09   1.9781e+09
-2.0500e+00   -1.0782e-09   1.9013e+09
-2.0000e+00   -7.3900e-10   2.7064e+09
-1.9500e+00   -8.2630e-10   2.3599e+09
-1.9000e+00   -6.5845e-10   2.8856e+09
-1.8500e+00   -5.7264e-10   3.2307e+09
-1.8000e+00   -4.4761e-10   4.0214e+09
-1.7500e+00   -3.3753e-10   5.1847e+09
-1.7000e+00   -2.7829e-10   6.1087e+09
-1.6500e+00   -2.1594e-10   7.6410e+09
-1.6000e+00   -2.4701e-10   6.4775e+09
-1.5500e+00   -1.9852e-10   7.8078e+09
-1.5000e+00   -9.9170e-11   1.5126e+10
-1.4500e+00   -5.1930e-11   2.7922e+10
-1.4000e+00   -1.9060e-11   7.3452e+10
-1.3500e+00   1.0710e-11   -1.2605e+11
-1.3000e+00   -2.7900e-12   4.6595e+11
-1.2500e+00   -1.2550e-11   9.9602e+10
-1.2000e+00   2.9890e-11   -4.0147e+10
