  Measurement Number     Measurement type
               14968                DC IV

      Measurement ID             SeriesID
       740024.677679                    0

         MeasureMode                Bias1                Bias2
                   1                   -2                    2

                Step  Positive compliance  Negative compliance
                0.05                  0.1                  0.1

  RealMeasuredPoints
                 162

        Bias        Current     Resistance
-2.0000e+00   -1.7698e-05   1.1301e+05
-1.9500e+00   -1.7622e-05   1.1066e+05
-1.9000e+00   -1.7542e-05   1.0831e+05
-1.8500e+00   -1.7462e-05   1.0594e+05
-1.8000e+00   -1.7372e-05   1.0362e+05
-1.7500e+00   -1.7280e-05   1.0127e+05
-1.7000e+00   -1.7186e-05   9.8918e+04
-1.6500e+00   -1.7084e-05   9.6582e+04
-1.6000e+00   -1.6978e-05   9.4240e+04
-1.5500e+00   -1.6866e-05   9.1901e+04
-1.5000e+00   -1.6752e-05   8.9542e+04
-1.4500e+00   -1.6626e-05   8.7213e+04
-1.4000e+00   -1.6496e-05   8.4869e+04
-1.3500e+00   -1.6358e-05   8.2528e+04
-1.3000e+00   -1.6214e-05   8.0178e+04
-1.2500e+00   -1.6056e-05   7.7853e+04
-1.2000e+00   -1.5892e-05   7.5510e+04
-1.1500e+00   -1.5718e-05   7.3165e+04
-1.1000e+00   -1.5538e-05   7.0794e+04
-1.0500e+00   -1.5342e-05   6.8440e+04
-1.0000e+00   -1.5136e-05   6.6068e+04
-9.5000e-01   -1.4914e-05   6.3699e+04
-9.0000e-01   -1.4680e-05   6.1308e+04
-8.5000e-01   -1.4432e-05   5.8897e+04
-8.0000e-01   -1.4164e-05   5.6481e+04
-7.5000e-01   -1.3878e-05   5.4042e+04
-7.0000e-01   -1.3576e-05   5.1562e+04
-6.5000e-01   -1.3252e-05   4.9049e+04
-6.0000e-01   -1.2902e-05   4.6504e+04
-5.5000e-01   -1.2534e-05   4.3881e+04
-5.0000e-01   -1.2132e-05   4.1213e+04
-4.5000e-01   -1.1704e-05   3.8448e+04
-4.0000e-01   -1.1244e-05   3.5575e+04
-3.5000e-01   -1.0752e-05   3.2552e+04
-3.0000e-01   -1.0218e-05   2.9360e+04
-2.5000e-01   -9.6489e-06   2.5910e+04
-2.0000e-01   -9.0312e-06   2.2145e+04
-1.5000e-01   -8.3653e-06   1.7931e+04
-1.0000e-01   -7.6449e-06   1.3081e+04
-5.0000e-02   -6.8654e-06   7.2829e+03
0.0000e+00   -6.0210e-06   -0.0000e+00
5.0000e-02   -5.1068e-06   -9.7909e+03
1.0000e-01   -4.1174e-06   -2.4287e+04
1.5000e-01   -3.0502e-06   -4.9177e+04
2.0000e-01   -1.8735e-06   -1.0675e+05
2.5000e-01   -3.5018e-07   -7.1392e+05
3.0000e-01   2.5831e-06   1.1614e+05
3.5000e-01   9.6159e-06   3.6398e+04
4.0000e-01   2.3072e-05   1.7337e+04
4.5000e-01   4.2706e-05   1.0537e+04
5.0000e-01   6.6556e-05   7.5125e+03
5.5000e-01   9.3160e-05   5.9038e+03
6.0000e-01   1.2140e-04   4.9423e+03
6.5000e-01   1.5120e-04   4.2989e+03
7.0000e-01   1.8192e-04   3.8478e+03
7.5000e-01   2.1328e-04   3.5165e+03
8.0000e-01   2.4522e-04   3.2624e+03
8.5000e-01   2.7752e-04   3.0628e+03
9.0000e-01   3.1020e-04   2.9014e+03
9.5000e-01   3.4290e-04   2.7705e+03
1.0000e+00   3.7632e-04   2.6573e+03
1.0500e+00   4.0978e-04   2.5624e+03
1.1000e+00   4.4356e-04   2.4799e+03
1.1500e+00   4.7788e-04   2.4065e+03
