  Measurement Number     Measurement type
               14979                DC IV

      Measurement ID             SeriesID
       740024.697669                    0

         MeasureMode                Bias1                Bias2
                   1                   -2                    2

                Step  Positive compliance  Negative compliance
                0.05                  0.1                  0.1

  RealMeasuredPoints
                 162

        Bias        Current     Resistance
-2.0000e+00   -7.0159e-09   2.8507e+08
-1.9500e+00   -4.3904e-09   4.4415e+08
-1.9000e+00   -2.3677e-09   8.0247e+08
-1.8500e+00   -5.2470e-10   3.5258e+09
-1.8000e+00   3.0890e-11   -5.8271e+10
-1.7500e+00   1.4777e-10   -1.1843e+10
-1.7000e+00   1.5615e-10   -1.0887e+10
-1.6500e+00   1.7014e-10   -9.6979e+09
-1.6000e+00   1.4192e-10   -1.1274e+10
-1.5500e+00   1.7608e-10   -8.8028e+09
-1.5000e+00   1.6518e-10   -9.0810e+09
-1.4500e+00   1.7550e-10   -8.2621e+09
-1.4000e+00   1.6809e-10   -8.3289e+09
-1.3500e+00   1.9658e-10   -6.8674e+09
-1.3000e+00   1.7948e-10   -7.2431e+09
-1.2500e+00   1.7527e-10   -7.1319e+09
-1.2000e+00   1.5463e-10   -7.7605e+09
-1.1500e+00   2.0204e-10   -5.6919e+09
-1.1000e+00   1.8970e-10   -5.7986e+09
-1.0500e+00   1.7217e-10   -6.0986e+09
-1.0000e+00   1.4816e-10   -6.7495e+09
-9.5000e-01   1.9195e-10   -4.9492e+09
-9.0000e-01   1.9229e-10   -4.6804e+09
-8.5000e-01   1.6724e-10   -5.0825e+09
-8.0000e-01   1.8280e-10   -4.3764e+09
-7.5000e-01   2.0010e-10   -3.7481e+09
-7.0000e-01   1.9236e-10   -3.6390e+09
-6.5000e-01   1.9738e-10   -3.2931e+09
-6.0000e-01   2.1459e-10   -2.7960e+09
-5.5000e-01   1.9325e-10   -2.8461e+09
-5.0000e-01   1.5271e-10   -3.2742e+09
-4.5000e-01   2.1839e-10   -2.0605e+09
-4.0000e-01   2.1723e-10   -1.8414e+09
-3.5000e-01   2.0305e-10   -1.7237e+09
-3.0000e-01   2.0163e-10   -1.4879e+09
-2.5000e-01   2.1656e-10   -1.1544e+09
-2.0000e-01   1.9530e-10   -1.0241e+09
-1.5000e-01   2.3475e-10   -6.3898e+08
-1.0000e-01   2.2390e-10   -4.4663e+08
-5.0000e-02   2.0863e-10   -2.3966e+08
0.0000e+00   1.9168e-10   0.0000e+00
5.0000e-02   1.7012e-10   2.9391e+08
1.0000e-01   2.1195e-10   4.7181e+08
1.5000e-01   2.0436e-10   7.3400e+08
2.0000e-01   2.1195e-10   9.4362e+08
2.5000e-01   2.2070e-10   1.1328e+09
3.0000e-01   2.0547e-10   1.4601e+09
3.5000e-01   2.1267e-10   1.6457e+09
4.0000e-01   2.1158e-10   1.8905e+09
4.5000e-01   2.2454e-10   2.0041e+09
5.0000e-01   2.6421e-10   1.8924e+09
5.5000e-01   1.5753e-10   3.4914e+09
6.0000e-01   2.1563e-10   2.7825e+09
6.5000e-01   2.2243e-10   2.9223e+09
7.0000e-01   2.3140e-10   3.0251e+09
7.5000e-01   1.9944e-10   3.7605e+09
8.0000e-01   2.1088e-10   3.7936e+09
8.5000e-01   2.0251e-10   4.1973e+09
9.0000e-01   2.1513e-10   4.1835e+09
9.5000e-01   2.2967e-10   4.1364e+09
1.0000e+00   2.2247e-10   4.4950e+09
1.0500e+00   2.2145e-10   4.7415e+09
1.1000e+00   2.1292e-10   5.1663e+09
1.1500e+00   1.9717e-10   5.8325e+09
1.2000e+00   2.0591e-10   5.8278e+09
