  Measurement Number     Measurement type
               14973           CVSweepNew

      Measurement ID             SeriesID
       740024.682203                    0

         MeasureMode                Start                 Stop
                   1                   -3                    3

                Step           Sweep mode            Frequency
                0.05                    3               100000

            AC level                Abort          After abort
                0.05                    0                    1

           Hold time           Delay time      Stop delay time
                   0                    0                    0

  RealMeasuredPoints
                 242

     Voltage   Resistance    Reactance      ACLevel    Frequency
-2.9965e+00 1.2655e+06 1.3275e+06 3.4832e-02 1.0000e+05
-2.9459e+00 1.2409e+06 1.2725e+06 3.4832e-02 1.0000e+05
-2.8958e+00 1.2157e+06 1.3055e+06 3.4831e-02 1.0000e+05
-2.8460e+00 1.1724e+06 1.2797e+06 3.4833e-02 1.0000e+05
-2.7960e+00 1.1867e+06 1.2233e+06 3.4831e-02 1.0000e+05
-2.7462e+00 1.0965e+06 1.1920e+06 3.4831e-02 1.0000e+05
-2.6956e+00 1.0698e+06 1.2016e+06 3.4833e-02 1.0000e+05
-2.6452e+00 1.0142e+06 1.1381e+06 3.4830e-02 1.0000e+05
-2.5956e+00 9.7187e+05 1.1668e+06 3.4830e-02 1.0000e+05
-2.5456e+00 9.8728e+05 1.1275e+06 3.4834e-02 1.0000e+05
-2.4959e+00 9.2257e+05 1.1190e+06 3.4830e-02 1.0000e+05
-2.4451e+00 8.8987e+05 1.0812e+06 3.4832e-02 1.0000e+05
-2.3953e+00 8.6485e+05 1.0386e+06 3.4830e-02 1.0000e+05
-2.3453e+00 8.3108e+05 1.0825e+06 3.4833e-02 1.0000e+05
-2.2954e+00 7.9972e+05 1.0151e+06 3.4831e-02 1.0000e+05
-2.2458e+00 7.5428e+05 1.0355e+06 3.4829e-02 1.0000e+05
-2.1946e+00 7.1702e+05 1.0518e+06 3.4829e-02 1.0000e+05
-2.1450e+00 6.9363e+05 1.0029e+06 3.4831e-02 1.0000e+05
-2.0950e+00 6.6940e+05 9.3772e+05 3.4831e-02 1.0000e+05
-2.0451e+00 6.5154e+05 9.1324e+05 3.4831e-02 1.0000e+05
-1.9955e+00 6.1974e+05 9.4364e+05 3.4831e-02 1.0000e+05
-1.9444e+00 5.9127e+05 9.0079e+05 3.4829e-02 1.0000e+05
-1.8948e+00 5.6139e+05 8.6957e+05 3.4828e-02 1.0000e+05
-1.8447e+00 5.3227e+05 8.4544e+05 3.4829e-02 1.0000e+05
-1.7951e+00 5.0297e+05 8.3159e+05 3.4830e-02 1.0000e+05
-1.7454e+00 4.7854e+05 8.3643e+05 3.4828e-02 1.0000e+05
-1.6942e+00 4.6014e+05 7.9541e+05 3.4831e-02 1.0000e+05
-1.6444e+00 4.3867e+05 7.6888e+05 3.4828e-02 1.0000e+05
-1.5944e+00 4.1186e+05 7.7386e+05 3.4829e-02 1.0000e+05
-1.5449e+00 3.9882e+05 7.6165e+05 3.4828e-02 1.0000e+05
-1.4946e+00 3.7928e+05 7.5150e+05 3.4830e-02 1.0000e+05
-1.4444e+00 3.5844e+05 7.2630e+05 3.4828e-02 1.0000e+05
-1.3940e+00 3.3705e+05 7.1427e+05 3.4827e-02 1.0000e+05
-1.3446e+00 3.1835e+05 6.9176e+05 3.4825e-02 1.0000e+05
-1.2947e+00 3.0339e+05 6.4625e+05 3.4827e-02 1.0000e+05
-1.2448e+00 2.8548e+05 6.6172e+05 3.4826e-02 1.0000e+05
-1.1940e+00 2.7343e+05 6.3245e+05 3.4825e-02 1.0000e+05
-1.1438e+00 2.5647e+05 6.1939e+05 3.4825e-02 1.0000e+05
-1.0943e+00 2.4086e+05 6.0202e+05 3.4826e-02 1.0000e+05
-1.0442e+00 2.2720e+05 5.9032e+05 3.4826e-02 1.0000e+05
-9.9436e-01 2.1345e+05 5.7089e+05 3.4825e-02 1.0000e+05
-9.4357e-01 2.0179e+05 5.3879e+05 3.4824e-02 1.0000e+05
-8.9367e-01 1.8812e+05 5.4443e+05 3.4824e-02 1.0000e+05
-8.4413e-01 1.7796e+05 5.3374e+05 3.4824e-02 1.0000e+05
-7.9398e-01 1.6623e+05 5.2076e+05 3.4824e-02 1.0000e+05
-7.4434e-01 1.5643e+05 5.1138e+05 3.4823e-02 1.0000e+05
-6.9321e-01 1.4578e+05 4.9026e+05 3.4821e-02 1.0000e+05
-6.4379e-01 1.3662e+05 4.8692e+05 3.4822e-02 1.0000e+05
-5.9720e-01 1.2777e+05 4.7448e+05 3.4819e-02 1.0000e+05
-5.4548e-01 1.1977e+05 4.6713e+05 3.4819e-02 1.0000e+05
-4.9505e-01 1.1238e+05 4.4999e+05 3.4818e-02 1.0000e+05
-4.4376e-01 1.0467e+05 4.5790e+05 3.4816e-02 1.0000e+05
-3.9442e-01 1.0215e-05 4.5041e+05 3.4814e-02 1.0000e+05
-3.4203e-01 9.1134e+04 4.4849e+05 3.4812e-02 1.0000e+05
-2.9426e-01 8.5080e+04 4.5306e+05 3.4812e-02 1.0000e+05
-2.4522e-01 7.9114e+04 4.5347e+05 3.4810e-02 1.0000e+05
-1.9481e-01 7.3526e+04 4.6135e+05 3.4808e-02 1.0000e+05
-1.4486e-01 6.8179e+04 4.6905e+05 3.4806e-02 1.0000e+05
-9.5000e-02 6.3180e+04 4.9034e+05 3.4804e-02 1.0000e+05
-4.5336e-02 5.8599e+04 5.2425e+05 3.4804e-02 1.0000e+05
4.7760e-03 5.4184e+04 5.6799e+05 3.4800e-02 1.0000e+05
5.4136e-02 5.0168e+04 6.4853e+05 3.4799e-02 1.0000e+05
1.0390e-01 4.6511e+04 7.9022e+05 3.4796e-02 1.0000e+05
1.5337e-01 4.2873e+04 1.1004e+06 3.4792e-02 1.0000e+05
2.0367e-01 3.6505e+04 3.3888e+06 3.4784e-02 1.0000e+05
2.5410e-01 2.2917e+04 -9.0489e+05 3.4757e-02 1.0000e+05
3.0406e-01 1.0222e+04 -2.1765e+05 3.4661e-02 1.0000e+05
3.5376e-01 4.6990e+03 -9.5409e+04 3.4459e-02 1.0000e+05
4.0278e-01 2.8185e+03 -5.9721e+04 3.4213e-02 1.0000e+05
4.5165e-01 2.1117e+03 -4.7120e+04 3.4012e-02 1.0000e+05
5.0129e-01 1.7996e+03 -4.1948e+04 3.3873e-02 1.0000e+05
5.4954e-01 1.6424e+03 -3.9215e+04 3.3787e-02 1.0000e+05
5.9802e-01 1.5500e+03 -3.7800e+04 3.3724e-02 1.0000e+05
6.4610e-01 1.4913e+03 -3.6810e+04 3.3682e-02 1.0000e+05
6.9468e-01 1.4495e+03 -3.6061e+04 3.3649e-02 1.0000e+05
7.4359e-01 1.4201e+03 -3.5747e+04 3.3626e-02 1.0000e+05
7.9174e-01 1.3967e+03 -3.5413e+04 3.3606e-02 1.0000e+05
8.4024e-01 1.3789e+03 -3.5145e+04 3.3591e-02 1.0000e+05
8.8785e-01 1.3640e+03 -3.5039e+04 3.3577e-02 1.0000e+05
9.3615e-01 1.3514e+03 -3.5017e+04 3.3565e-02 1.0000e+05
9.8507e-01 1.3409e+03 -3.4831e+04 3.3556e-02 1.0000e+05
1.0335e+00 1.3317e+03 -3.4657e+04 3.3546e-02 1.0000e+05
1.0813e+00 1.3218e+03 -3.4194e+04 3.3539e-02 1.0000e+05
1.1296e+00 1.3131e+03 -3.4415e+04 3.3530e-02 1.0000e+05
