  Measurement Number     Measurement type
               14967                DC IV

      Measurement ID             SeriesID
       740024.676615                    0

         MeasureMode                Bias1                Bias2
                   1                 -1.5                  1.5

                Step  Positive compliance  Negative compliance
                0.05                  0.1                  0.1

  RealMeasuredPoints
                 122

        Bias        Current     Resistance
-1.5000e+00   -1.7284e-05   8.6785e+04
-1.4500e+00   -1.7154e-05   8.4528e+04
-1.4000e+00   -1.7012e-05   8.2295e+04
-1.3500e+00   -1.6866e-05   8.0043e+04
-1.3000e+00   -1.6714e-05   7.7779e+04
-1.2500e+00   -1.6548e-05   7.5538e+04
-1.2000e+00   -1.6380e-05   7.3260e+04
-1.1500e+00   -1.6198e-05   7.0996e+04
-1.1000e+00   -1.6004e-05   6.8733e+04
-1.0500e+00   -1.5798e-05   6.6464e+04
-1.0000e+00   -1.5584e-05   6.4168e+04
-9.5000e-01   -1.5352e-05   6.1881e+04
-9.0000e-01   -1.5104e-05   5.9587e+04
-8.5000e-01   -1.4842e-05   5.7270e+04
-8.0000e-01   -1.4564e-05   5.4930e+04
-7.5000e-01   -1.4266e-05   5.2573e+04
-7.0000e-01   -1.3948e-05   5.0186e+04
-6.5000e-01   -1.3610e-05   4.7759e+04
-6.0000e-01   -1.3248e-05   4.5290e+04
-5.5000e-01   -1.2862e-05   4.2762e+04
-5.0000e-01   -1.2446e-05   4.0174e+04
-4.5000e-01   -1.2004e-05   3.7488e+04
-4.0000e-01   -1.1526e-05   3.4704e+04
-3.5000e-01   -1.1016e-05   3.1772e+04
-3.0000e-01   -1.0466e-05   2.8664e+04
-2.5000e-01   -9.8794e-06   2.5305e+04
-2.0000e-01   -9.2431e-06   2.1638e+04
-1.5000e-01   -8.5576e-06   1.7528e+04
-1.0000e-01   -7.8187e-06   1.2790e+04
-5.0000e-02   -7.0179e-06   7.1246e+03
0.0000e+00   -6.1538e-06   -0.0000e+00
5.0000e-02   -5.2154e-06   -9.5870e+03
1.0000e-01   -4.2040e-06   -2.3787e+04
1.5000e-01   -3.1140e-06   -4.8170e+04
2.0000e-01   -1.9164e-06   -1.0436e+05
2.5000e-01   -3.8112e-07   -6.5596e+05
3.0000e-01   2.5372e-06   1.1824e+05
3.5000e-01   9.4773e-06   3.6930e+04
4.0000e-01   2.2802e-05   1.7542e+04
4.5000e-01   4.2152e-05   1.0676e+04
5.0000e-01   6.5660e-05   7.6150e+03
5.5000e-01   9.1878e-05   5.9862e+03
6.0000e-01   1.1972e-04   5.0117e+03
6.5000e-01   1.4908e-04   4.3601e+03
7.0000e-01   1.7916e-04   3.9071e+03
7.5000e-01   2.1014e-04   3.5690e+03
8.0000e-01   2.4148e-04   3.3129e+03
8.5000e-01   2.7418e-04   3.1002e+03
9.0000e-01   3.0692e-04   2.9324e+03
9.5000e-01   3.4008e-04   2.7935e+03
1.0000e+00   3.7288e-04   2.6818e+03
1.0500e+00   4.0602e-04   2.5861e+03
1.1000e+00   4.3884e-04   2.5066e+03
1.1500e+00   4.7288e-04   2.4319e+03
1.2000e+00   5.0546e-04   2.3741e+03
1.2500e+00   5.3992e-04   2.3152e+03
1.3000e+00   5.7396e-04   2.2650e+03
1.3500e+00   6.0740e-04   2.2226e+03
1.4000e+00   6.4146e-04   2.1825e+03
1.4500e+00   6.7448e-04   2.1498e+03
1.5000e+00   7.0712e-04   2.1213e+03
1.5000e+00   7.0740e-04   2.1204e+03
1.4500e+00   6.7216e-04   2.1572e+03
1.4000e+00   6.4052e-04   2.1857e+03
1.3500e+00   6.0352e-04   2.2369e+03
1.3000e+00   5.6934e-04   2.2833e+03
1.2500e+00   5.3534e-04   2.3350e+03
1.2000e+00   5.0180e-04   2.3914e+03
1.1500e+00   4.6820e-04   2.4562e+03
1.1000e+00   4.3540e-04   2.5264e+03
1.0500e+00   4.0226e-04   2.6103e+03
1.0000e+00   3.6922e-04   2.7084e+03
9.5000e-01   3.3664e-04   2.8220e+03
9.0000e-01   3.0472e-04   2.9535e+03
8.5000e-01   2.7248e-04   3.1195e+03
8.0000e-01   2.4060e-04   3.3250e+03
7.5000e-01   2.0942e-04   3.5813e+03
7.0000e-01   1.7862e-04   3.9189e+03
6.5000e-01   1.4838e-04   4.3806e+03
6.0000e-01   1.1902e-04   5.0412e+03
5.5000e-01   9.1112e-05   6.0365e+03
5.0000e-01   6.4970e-05   7.6959e+03
4.5000e-01   4.1592e-05   1.0819e+04
4.0000e-01   2.2410e-05   1.7849e+04
3.5000e-01   9.2606e-06   3.7795e+04
3.0000e-01   2.4472e-06   1.2259e+05
2.5000e-01   -4.2174e-07   -5.9278e+05
2.0000e-01   -1.9475e-06   -1.0270e+05
1.5000e-01   -3.1460e-06   -4.7680e+04
1.0000e-01   -4.2374e-06   -2.3599e+04
5.0000e-02   -5.2510e-06   -9.5220e+03
0.0000e+00   -6.1885e-06   -0.0000e+00
-5.0000e-02   -7.0543e-06   7.0879e+03
-1.0000e-01   -7.8534e-06   1.2733e+04
-1.5000e-01   -8.5940e-06   1.7454e+04
-2.0000e-01   -9.2792e-06   2.1554e+04
-2.5000e-01   -9.9138e-06   2.5217e+04
-3.0000e-01   -1.0504e-05   2.8561e+04
-3.5000e-01   -1.1053e-05   3.1666e+04
-4.0000e-01   -1.1554e-05   3.4620e+04
-4.5000e-01   -1.2028e-05   3.7413e+04
-5.0000e-01   -1.2474e-05   4.0083e+04
-5.5000e-01   -1.2886e-05   4.2682e+04
-6.0000e-01   -1.3272e-05   4.5208e+04
-6.5000e-01   -1.3630e-05   4.7689e+04
-7.0000e-01   -1.3968e-05   5.0115e+04
-7.5000e-01   -1.4284e-05   5.2506e+04
-8.0000e-01   -1.4578e-05   5.4877e+04
-8.5000e-01   -1.4858e-05   5.7208e+04
-9.0000e-01   -1.5114e-05   5.9547e+04
-9.5000e-01   -1.5356e-05   6.1865e+04
-1.0000e+00   -1.5586e-05   6.4160e+04
-1.0500e+00   -1.5798e-05   6.6464e+04
-1.1000e+00   -1.6000e-05   6.8750e+04
-1.1500e+00   -1.6190e-05   7.1032e+04
-1.2000e+00   -1.6370e-05   7.3305e+04
-1.2500e+00   -1.6540e-05   7.5574e+04
-1.3000e+00   -1.6696e-05   7.7863e+04
-1.3500e+00   -1.6850e-05   8.0119e+04
-1.4000e+00   -1.6988e-05   8.2411e+04
-1.4500e+00   -1.7120e-05   8.4696e+04
-1.5000e+00   -1.7246e-05   8.6977e+04
