  Measurement Number     Measurement type
               14964                DC IV

      Measurement ID             SeriesID
       740024.664342                    0

         MeasureMode                Bias1                Bias2
                   1                   -2                    2

                Step  Positive compliance  Negative compliance
                0.05                  0.1                  0.1

  RealMeasuredPoints
                 162

        Bias        Current     Resistance
-2.0000e+00   -1.0405e-08   1.9221e+08
-1.9500e+00   -1.2720e-09   1.5330e+09
-1.9000e+00   -3.4040e-10   5.5817e+09
-1.8500e+00   -2.5177e-10   7.3480e+09
-1.8000e+00   -1.9348e-10   9.3033e+09
-1.7500e+00   -1.6647e-10   1.0512e+10
-1.7000e+00   -1.3023e-10   1.3054e+10
-1.6500e+00   -1.1854e-10   1.3919e+10
-1.6000e+00   -9.8440e-11   1.6254e+10
-1.5500e+00   -8.7940e-11   1.7626e+10
-1.5000e+00   -7.8720e-11   1.9055e+10
-1.4500e+00   -6.9490e-11   2.0866e+10
-1.4000e+00   -5.6860e-11   2.4622e+10
-1.3500e+00   -5.1890e-11   2.6017e+10
-1.3000e+00   -4.8350e-11   2.6887e+10
-1.2500e+00   -4.5270e-11   2.7612e+10
-1.2000e+00   -3.6600e-11   3.2787e+10
-1.1500e+00   -3.5990e-11   3.1953e+10
-1.1000e+00   -3.8500e-11   2.8571e+10
-1.0500e+00   -3.5400e-11   2.9661e+10
-1.0000e+00   -3.4610e-11   2.8893e+10
-9.5000e-01   -2.5650e-11   3.7037e+10
-9.0000e-01   -1.9550e-11   4.6036e+10
-8.5000e-01   -2.2760e-11   3.7346e+10
-8.0000e-01   -1.4370e-11   5.5672e+10
-7.5000e-01   -1.1660e-11   6.4322e+10
-7.0000e-01   -6.6800e-12   1.0479e+11
-6.5000e-01   -5.2100e-12   1.2476e+11
-6.0000e-01   -1.0980e-11   5.4645e+10
-5.5000e-01   -2.6300e-12   2.0913e+11
-5.0000e-01   4.0300e-12   -1.2407e+11
-4.5000e-01   1.6700e-12   -2.6946e+11
-4.0000e-01   2.8000e-12   -1.4286e+11
-3.5000e-01   -5.6000e-13   6.2500e+11
-3.0000e-01   8.2600e-12   -3.6320e+10
-2.5000e-01   9.6400e-12   -2.5934e+10
-2.0000e-01   8.5800e-12   -2.3310e+10
-1.5000e-01   1.2040e-11   -1.2458e+10
-1.0000e-01   9.5400e-12   -1.0482e+10
-5.0000e-02   1.3960e-11   -3.5817e+09
0.0000e+00   1.4600e-11   0.0000e+00
5.0000e-02   1.7140e-11   2.9172e+09
1.0000e-01   1.6260e-11   6.1501e+09
1.5000e-01   1.6600e-11   9.0361e+09
2.0000e-01   2.3670e-11   8.4495e+09
2.5000e-01   2.1430e-11   1.1666e+10
3.0000e-01   2.1200e-11   1.4151e+10
3.5000e-01   2.1110e-11   1.6580e+10
4.0000e-01   2.4750e-11   1.6162e+10
4.5000e-01   2.6140e-11   1.7215e+10
5.0000e-01   2.6220e-11   1.9069e+10
5.5000e-01   3.0140e-11   1.8248e+10
6.0000e-01   3.0690e-11   1.9550e+10
6.5000e-01   3.4150e-11   1.9034e+10
7.0000e-01   3.5650e-11   1.9635e+10
7.5000e-01   3.5570e-11   2.1085e+10
8.0000e-01   4.4150e-11   1.8120e+10
8.5000e-01   4.3620e-11   1.9486e+10
9.0000e-01   4.7940e-11   1.8773e+10
9.5000e-01   4.4870e-11   2.1172e+10
1.0000e+00   4.9290e-11   2.0288e+10
1.0500e+00   5.6730e-11   1.8509e+10
1.1000e+00   4.9740e-11   2.2115e+10
1.1500e+00   5.9070e-11   1.9468e+10
1.2000e+00   5.7390e-11   2.0910e+10
