  Measurement Number     Measurement type
               14963                DC IV

      Measurement ID             SeriesID
       740024.663816                    0

         MeasureMode                Bias1                Bias2
                   1                   -1                    1

                Step  Positive compliance  Negative compliance
                0.05                  0.1                  0.1

  RealMeasuredPoints
                  82

        Bias        Current     Resistance
-1.0000e+00   -1.7546e-08   5.6992e+07
-9.5000e-01   -1.1685e-08   8.1299e+07
-9.0000e-01   -1.0147e-08   8.8693e+07
-8.5000e-01   -9.6049e-09   8.8496e+07
-8.0000e-01   -8.4273e-09   9.4930e+07
-7.5000e-01   -7.8355e-09   9.5718e+07
-7.0000e-01   -7.3059e-09   9.5813e+07
-6.5000e-01   -6.6546e-09   9.7677e+07
-6.0000e-01   -5.8248e-09   1.0301e+08
-5.5000e-01   -5.1922e-09   1.0593e+08
-5.0000e-01   -4.6011e-09   1.0867e+08
-4.5000e-01   -4.0524e-09   1.1105e+08
-4.0000e-01   -3.5080e-09   1.1403e+08
-3.5000e-01   -3.0512e-09   1.1471e+08
-3.0000e-01   -2.4841e-09   1.2077e+08
-2.5000e-01   -2.0469e-09   1.2214e+08
-2.0000e-01   -1.6993e-09   1.1770e+08
-1.5000e-01   -1.1930e-09   1.2573e+08
-1.0000e-01   -7.8022e-10   1.2817e+08
-5.0000e-02   -3.6742e-10   1.3608e+08
0.0000e+00   7.1600e-12   0.0000e+00
5.0000e-02   3.9631e-10   1.2616e+08
1.0000e-01   7.7966e-10   1.2826e+08
1.5000e-01   1.2447e-09   1.2051e+08
2.0000e-01   1.5820e-09   1.2642e+08
2.5000e-01   2.1085e-09   1.1857e+08
3.0000e-01   2.6726e-09   1.1225e+08
3.5000e-01   2.8046e-09   1.2479e+08
4.0000e-01   3.4975e-09   1.1437e+08
4.5000e-01   3.7920e-09   1.1867e+08
5.0000e-01   4.3436e-09   1.1511e+08
5.5000e-01   4.8836e-09   1.1262e+08
6.0000e-01   5.0991e-09   1.1767e+08
6.5000e-01   5.6794e-09   1.1445e+08
7.0000e-01   6.3078e-09   1.1097e+08
7.5000e-01   8.3212e-09   9.0131e+07
8.0000e-01   9.5899e-09   8.3421e+07
8.5000e-01   8.3115e-09   1.0227e+08
9.0000e-01   8.2723e-09   1.0880e+08
9.5000e-01   7.8615e-09   1.2084e+08
1.0000e+00   8.5093e-09   1.1752e+08
1.0000e+00   9.0692e-09   1.1026e+08
9.5000e-01   7.7721e-09   1.2223e+08
9.0000e-01   8.0974e-09   1.1115e+08
8.5000e-01   6.8107e-09   1.2480e+08
8.0000e-01   5.9828e-09   1.3372e+08
7.5000e-01   5.1750e-09   1.4493e+08
7.0000e-01   5.4302e-09   1.2891e+08
6.5000e-01   4.8064e-09   1.3524e+08
6.0000e-01   4.9004e-09   1.2244e+08
5.5000e-01   4.1287e-09   1.3321e+08
5.0000e-01   4.0589e-09   1.2319e+08
4.5000e-01   3.7380e-09   1.2039e+08
4.0000e-01   3.2308e-09   1.2381e+08
3.5000e-01   2.7163e-09   1.2885e+08
3.0000e-01   2.2947e-09   1.3074e+08
2.5000e-01   2.0014e-09   1.2491e+08
2.0000e-01   1.5783e-09   1.2672e+08
1.5000e-01   1.1812e-09   1.2699e+08
1.0000e-01   7.4470e-10   1.3428e+08
5.0000e-02   3.3120e-10   1.5097e+08
0.0000e+00   -8.1700e-12   -0.0000e+00
-5.0000e-02   -2.8517e-10   1.7533e+08
-1.0000e-01   -7.1181e-10   1.4049e+08
-1.5000e-01   -1.1148e-09   1.3455e+08
-2.0000e-01   -1.4763e-09   1.3547e+08
-2.5000e-01   -1.9479e-09   1.2834e+08
-3.0000e-01   -2.2600e-09   1.3274e+08
-3.5000e-01   -2.7458e-09   1.2747e+08
-4.0000e-01   -2.8574e-09   1.3999e+08
-4.5000e-01   -3.1973e-09   1.4074e+08
-5.0000e-01   -3.5823e-09   1.3958e+08
-5.5000e-01   -4.2754e-09   1.2864e+08
-6.0000e-01   -4.4290e-09   1.3547e+08
-6.5000e-01   -5.1328e-09   1.2664e+08
-7.0000e-01   -5.5598e-09   1.2590e+08
-7.5000e-01   -5.1337e-09   1.4609e+08
-8.0000e-01   -5.8166e-09   1.3754e+08
-8.5000e-01   -6.5285e-09   1.3020e+08
-9.0000e-01   -7.3559e-09   1.2235e+08
-9.5000e-01   -7.7945e-09   1.2188e+08
-1.0000e+00   -1.9939e-08   5.0153e+07
