  Measurement Number     Measurement type
               14970                DC IV

      Measurement ID             SeriesID
       740024.680655                    0

         MeasureMode                Bias1                Bias2
                   1                   -4                    4

                Step  Positive compliance  Negative compliance
                0.05                  0.1                  0.1

  RealMeasuredPoints
                 322

        Bias        Current     Resistance
-4.0000e+00   -2.0002e-05   1.9998e+05
-3.9500e+00   -1.9982e-05   1.9768e+05
-3.9000e+00   -1.9952e-05   1.9547e+05
-3.8500e+00   -1.9928e-05   1.9320e+05
-3.8000e+00   -1.9900e-05   1.9095e+05
-3.7500e+00   -1.9878e-05   1.8865e+05
-3.7000e+00   -1.9852e-05   1.8638e+05
-3.6500e+00   -1.9828e-05   1.8408e+05
-3.6000e+00   -1.9796e-05   1.8185e+05
-3.5500e+00   -1.9772e-05   1.7955e+05
-3.5000e+00   -1.9744e-05   1.7727e+05
-3.4500e+00   -1.9712e-05   1.7502e+05
-3.4000e+00   -1.9684e-05   1.7273e+05
-3.3500e+00   -1.9656e-05   1.7043e+05
-3.3000e+00   -1.9622e-05   1.6818e+05
-3.2500e+00   -1.9592e-05   1.6588e+05
-3.2000e+00   -1.9558e-05   1.6362e+05
-3.1500e+00   -1.9526e-05   1.6132e+05
-3.1000e+00   -1.9494e-05   1.5902e+05
-3.0500e+00   -1.9458e-05   1.5675e+05
-3.0000e+00   -1.9418e-05   1.5450e+05
-2.9500e+00   -1.9380e-05   1.5222e+05
-2.9000e+00   -1.9340e-05   1.4995e+05
-2.8500e+00   -1.9298e-05   1.4768e+05
-2.8000e+00   -1.9256e-05   1.4541e+05
-2.7500e+00   -1.9214e-05   1.4312e+05
-2.7000e+00   -1.9170e-05   1.4085e+05
-2.6500e+00   -1.9124e-05   1.3857e+05
-2.6000e+00   -1.9078e-05   1.3628e+05
-2.5500e+00   -1.9028e-05   1.3401e+05
-2.5000e+00   -1.8974e-05   1.3176e+05
-2.4500e+00   -1.8926e-05   1.2945e+05
-2.4000e+00   -1.8870e-05   1.2719e+05
-2.3500e+00   -1.8814e-05   1.2491e+05
-2.3000e+00   -1.8756e-05   1.2263e+05
-2.2500e+00   -1.8694e-05   1.2036e+05
-2.2000e+00   -1.8632e-05   1.1808e+05
-2.1500e+00   -1.8564e-05   1.1582e+05
-2.1000e+00   -1.8494e-05   1.1355e+05
-2.0500e+00   -1.8422e-05   1.1128e+05
-2.0000e+00   -1.8346e-05   1.0902e+05
-1.9500e+00   -1.8270e-05   1.0673e+05
-1.9000e+00   -1.8184e-05   1.0449e+05
-1.8500e+00   -1.8098e-05   1.0222e+05
-1.8000e+00   -1.8006e-05   9.9967e+04
-1.7500e+00   -1.7910e-05   9.7711e+04
-1.7000e+00   -1.7814e-05   9.5431e+04
-1.6500e+00   -1.7708e-05   9.3178e+04
-1.6000e+00   -1.7596e-05   9.0930e+04
-1.5500e+00   -1.7480e-05   8.8673e+04
-1.5000e+00   -1.7358e-05   8.6415e+04
-1.4500e+00   -1.7228e-05   8.4165e+04
-1.4000e+00   -1.7092e-05   8.1910e+04
-1.3500e+00   -1.6946e-05   7.9665e+04
-1.3000e+00   -1.6792e-05   7.7418e+04
-1.2500e+00   -1.6632e-05   7.5156e+04
