  Measurement Number     Measurement type
               14965                DC IV

      Measurement ID             SeriesID
       740024.665628                    0

         MeasureMode                Bias1                Bias2
                   1                   -2                    2

                Step  Positive compliance  Negative compliance
                 0.1                  0.1                  0.1

  RealMeasuredPoints
                  82

        Bias        Current     Resistance
-2.0000e+00   -9.9996e-02   2.0001e+01
-1.9000e+00   -9.9994e-02   1.9001e+01
-1.8000e+00   -9.9998e-02   1.8000e+01
-1.7000e+00   -9.9662e-02   1.7058e+01
-1.6000e+00   -9.8356e-02   1.6267e+01
-1.5000e+00   -8.9102e-02   1.6835e+01
-1.4000e+00   -6.6562e-02   2.1033e+01
-1.3000e+00   -6.6984e-02   1.9408e+01
-1.2000e+00   -6.4118e-02   1.8715e+01
-1.1000e+00   -4.6528e-02   2.3642e+01
-1.0000e+00   -4.4386e-02   2.2530e+01
-9.0000e-01   -3.4464e-02   2.6114e+01
-8.0000e-01   -3.0714e-02   2.6047e+01
-7.0000e-01   -6.6591e-08   1.0512e+07
-6.0000e-01   -4.6107e-08   1.3013e+07
-5.0000e-01   -3.0991e-08   1.6134e+07
-4.0000e-01   -2.0769e-08   1.9260e+07
-3.0000e-01   -1.3596e-08   2.2065e+07
-2.0000e-01   -1.0478e-08   1.9087e+07
-1.0000e-01   -5.2782e-09   1.8946e+07
0.0000e+00   1.4220e-11   0.0000e+00
1.0000e-01   5.3118e-09   1.8826e+07
2.0000e-01   1.1290e-08   1.7714e+07
3.0000e-01   2.0424e-08   1.4688e+07
4.0000e-01   2.6941e-08   1.4847e+07
5.0000e-01   3.4358e-08   1.4552e+07
6.0000e-01   4.2206e-08   1.4216e+07
7.0000e-01   5.1814e-08   1.3510e+07
8.0000e-01   6.3367e-08   1.2625e+07
9.0000e-01   7.0902e-08   1.2694e+07
1.0000e+00   9.6726e-08   1.0338e+07
1.1000e+00   1.1982e-07   9.1804e+06
1.2000e+00   1.4572e-07   8.2350e+06
1.3000e+00   1.8098e-07   7.1831e+06
1.4000e+00   2.1948e-07   6.3787e+06
1.5000e+00   2.9082e-07   5.1578e+06
1.6000e+00   3.6728e-07   4.3563e+06
1.7000e+00   5.0540e-07   3.3637e+06
1.8000e+00   7.2244e-07   2.4916e+06
1.9000e+00   1.0000e-01   1.8999e+01
2.0000e+00   1.0000e-01   1.9999e+01
2.0000e+00   1.0000e-01   1.9999e+01
1.9000e+00   1.0000e-01   1.9000e+01
1.8000e+00   1.0000e-01   1.8000e+01
1.7000e+00   1.0000e-01   1.6999e+01
1.6000e+00   1.0000e-01   1.6000e+01
1.5000e+00   1.0000e-01   1.4999e+01
1.4000e+00   1.0000e-01   1.4000e+01
1.3000e+00   1.0000e-01   1.3000e+01
1.2000e+00   1.0000e-01   1.2000e+01
1.1000e+00   9.6458e-02   1.1404e+01
1.0000e+00   8.9252e-02   1.1204e+01
9.0000e-01   8.1680e-02   1.1019e+01
8.0000e-01   7.3762e-02   1.0846e+01
7.0000e-01   6.5488e-02   1.0689e+01
6.0000e-01   5.6884e-02   1.0548e+01
5.0000e-01   4.7954e-02   1.0427e+01
4.0000e-01   3.8752e-02   1.0322e+01
3.0000e-01   2.9300e-02   1.0239e+01
2.0000e-01   1.9644e-02   1.0181e+01
1.0000e-01   9.8596e-03   1.0142e+01
0.0000e+00   -5.6310e-06   -0.0000e+00
-1.0000e-01   -9.8744e-03   1.0127e+01
-2.0000e-01   -1.9672e-02   1.0167e+01
-3.0000e-01   -2.9330e-02   1.0228e+01
-4.0000e-01   -3.8796e-02   1.0310e+01
-5.0000e-01   -4.8008e-02   1.0415e+01
-6.0000e-01   -5.6946e-02   1.0536e+01
-7.0000e-01   -6.5568e-02   1.0676e+01
-8.0000e-01   -7.3860e-02   1.0831e+01
-9.0000e-01   -8.1822e-02   1.0999e+01
-1.0000e+00   -8.9454e-02   1.1179e+01
-1.1000e+00   -9.6724e-02   1.1373e+01
-1.2000e+00   -9.9998e-02   1.2000e+01
-1.3000e+00   -1.0000e-01   1.3000e+01
-1.4000e+00   -1.0000e-01   1.4000e+01
-1.5000e+00   -9.9998e-02   1.5000e+01
-1.6000e+00   -9.9998e-02   1.6000e+01
-1.7000e+00   -9.9998e-02   1.7000e+01
-1.8000e+00   -9.9998e-02   1.8000e+01
-1.9000e+00   -1.0000e-01   1.9000e+01
-2.0000e+00   -9.9998e-02   2.0000e+01
