  Measurement Number     Measurement type
               14966                DC IV

      Measurement ID             SeriesID
       740024.676016                    0

         MeasureMode                Bias1                Bias2
                   1                   -1                    1

                Step  Positive compliance  Negative compliance
                0.05                  0.1                  0.1

  RealMeasuredPoints
                  82

        Bias        Current     Resistance
-1.0000e+00   -1.9742e-06   5.0653e+05
-9.5000e-01   -1.8041e-06   5.2658e+05
-9.0000e-01   -1.6465e-06   5.4661e+05
-8.5000e-01   -1.4932e-06   5.6925e+05
-8.0000e-01   -1.3437e-06   5.9537e+05
-7.5000e-01   -1.1998e-06   6.2510e+05
-7.0000e-01   -1.0644e-06   6.5765e+05
-6.5000e-01   -9.1936e-07   7.0701e+05
-6.0000e-01   -8.0236e-07   7.4779e+05
-5.5000e-01   -6.9088e-07   7.9609e+05
-5.0000e-01   -5.7026e-07   8.7679e+05
-4.5000e-01   -4.7126e-07   9.5489e+05
-4.0000e-01   -3.7188e-07   1.0756e+06
-3.5000e-01   -2.8462e-07   1.2297e+06
-3.0000e-01   -2.1324e-07   1.4069e+06
-2.5000e-01   -1.4986e-07   1.6682e+06
-2.0000e-01   -1.0188e-07   1.9631e+06
-1.5000e-01   -6.7482e-08   2.2228e+06
-1.0000e-01   -4.2649e-08   2.3447e+06
-5.0000e-02   -2.6331e-08   1.8989e+06
0.0000e+00   -1.5674e-08   -0.0000e+00
5.0000e-02   -9.2470e-09   -5.4072e+06
1.0000e-01   -5.0754e-09   -1.9703e+07
1.5000e-01   -2.7908e-09   -5.3748e+07
2.0000e-01   -1.1781e-09   -1.6976e+08
2.5000e-01   -1.7364e-10   -1.4398e+09
3.0000e-01   6.3356e-10   4.7351e+08
3.5000e-01   1.4503e-09   2.4133e+08
4.0000e-01   2.1694e-09   1.8438e+08
4.5000e-01   3.0332e-09   1.4836e+08
5.0000e-01   4.1284e-09   1.2111e+08
5.5000e-01   5.4757e-09   1.0044e+08
6.0000e-01   7.0048e-09   8.5656e+07
6.5000e-01   8.8514e-09   7.3435e+07
7.0000e-01   1.0794e-08   6.4850e+07
7.5000e-01   1.2880e-08   5.8231e+07
8.0000e-01   1.5034e-08   5.3211e+07
8.5000e-01   1.7720e-08   4.7967e+07
9.0000e-01   2.0710e-08   4.3458e+07
9.5000e-01   2.2953e-08   4.1389e+07
1.0000e+00   2.7744e-08   3.6044e+07
1.0000e+00   2.7966e-08   3.5757e+07
9.5000e-01   2.3905e-08   3.9740e+07
9.0000e-01   2.0903e-08   4.3057e+07
8.5000e-01   1.8372e-08   4.6266e+07
8.0000e-01   1.5181e-08   5.2697e+07
7.5000e-01   1.3201e-08   5.6814e+07
7.0000e-01   1.0905e-08   6.4193e+07
6.5000e-01   8.7781e-09   7.4048e+07
6.0000e-01   7.0188e-09   8.5485e+07
5.5000e-01   5.5561e-09   9.8990e+07
5.0000e-01   4.4063e-09   1.1347e+08
4.5000e-01   3.4276e-09   1.3129e+08
4.0000e-01   2.4441e-09   1.6366e+08
3.5000e-01   1.5694e-09   2.2302e+08
3.0000e-01   7.1389e-10   4.2023e+08
2.5000e-01   -1.8399e-10   -1.3588e+09
2.0000e-01   -1.3366e-09   -1.4963e+08
1.5000e-01   -3.1147e-09   -4.8159e+07
1.0000e-01   -5.9959e-09   -1.6678e+07
5.0000e-02   -1.0586e-08   -4.7234e+06
0.0000e+00   -1.8412e-08   -0.0000e+00
-5.0000e-02   -3.0255e-08   1.6526e+06
-1.0000e-01   -4.8385e-08   2.0668e+06
-1.5000e-01   -7.4795e-08   2.0055e+06
-2.0000e-01   -1.1375e-07   1.7583e+06
-2.5000e-01   -1.6348e-07   1.5292e+06
-3.0000e-01   -2.2628e-07   1.3258e+06
-3.5000e-01   -3.0302e-07   1.1550e+06
-4.0000e-01   -3.9220e-07   1.0199e+06
-4.5000e-01   -4.8846e-07   9.2126e+05
-5.0000e-01   -5.8884e-07   8.4913e+05
-5.5000e-01   -7.0806e-07   7.7677e+05
-6.0000e-01   -8.2958e-07   7.2326e+05
-6.5000e-01   -9.5388e-07   6.8143e+05
-7.0000e-01   -1.0952e-06   6.3916e+05
-7.5000e-01   -1.2386e-06   6.0552e+05
-8.0000e-01   -1.3822e-06   5.7879e+05
-8.5000e-01   -1.5270e-06   5.5665e+05
-9.0000e-01   -1.6936e-06   5.3141e+05
-9.5000e-01   -1.8626e-06   5.1004e+05
-1.0000e+00   -2.0113e-06   4.9719e+05
