  Measurement Number     Measurement type
               14977           CVSweepNew

      Measurement ID             SeriesID
       740024.691760                    0

         MeasureMode                Start                 Stop
                   1                   -1                    1

                Step           Sweep mode            Frequency
                0.05                    3               100000

            AC level                Abort          After abort
                0.05                    0                    1

           Hold time           Delay time      Stop delay time
                   0                    0                    0

  RealMeasuredPoints
                  82

     Voltage   Resistance    Reactance      ACLevel    Frequency
-9.9529e-01 1.4147e+05 -6.5175e+06 3.4755e-02 1.0000e+05
-9.4365e-01 1.3348e+05 -3.6885e+06 3.4754e-02 1.0000e+05
-8.9398e-01 1.2710e+05 -2.1911e+06 3.4753e-02 1.0000e+05
-8.4750e-01 1.1985e+05 -1.5176e+06 3.4750e-02 1.0000e+05
-7.9554e-01 1.1370e+05 -1.1302e+06 3.4749e-02 1.0000e+05
-7.4554e-01 1.0710e+05 -8.7224e+05 3.4745e-02 1.0000e+05
-6.9403e-01 1.0176e+05 -7.0028e+05 3.4744e-02 1.0000e+05
-6.4461e-01 1.0338e-05 -5.6884e+05 3.4743e-02 1.0000e+05
-5.9218e-01 9.2201e+04 -4.6829e+05 3.4743e-02 1.0000e+05
-5.4443e-01 8.7993e+04 -3.8826e+05 3.4737e-02 1.0000e+05
-4.9507e-01 8.4172e+04 -3.2445e+05 3.4736e-02 1.0000e+05
-4.4464e-01 8.0944e+04 -2.7145e+05 3.4732e-02 1.0000e+05
-3.9523e-01 7.8557e+04 -2.2882e+05 3.4729e-02 1.0000e+05
-3.4519e-01 7.6745e+04 -1.9627e+05 3.4729e-02 1.0000e+05
-2.9569e-01 7.6251e+04 -1.6903e+05 3.4726e-02 1.0000e+05
-2.4562e-01 7.6889e+04 -1.4737e+05 3.4727e-02 1.0000e+05
-1.9518e-01 7.9653e+04 -1.3095e+05 3.4727e-02 1.0000e+05
-1.4496e-01 8.4704e+04 -1.1828e+05 3.4733e-02 1.0000e+05
-9.5160e-02 9.1065e+04 -1.0668e+05 3.4739e-02 1.0000e+05
-4.5536e-02 9.4450e+04 -9.3906e+04 3.4751e-02 1.0000e+05
4.4400e-03 9.2684e+04 -8.4823e+04 3.4768e-02 1.0000e+05
5.4000e-02 9.1129e+04 -8.9162e+04 3.4789e-02 1.0000e+05
1.0390e-01 8.7825e+04 -1.0114e+05 3.4798e-02 1.0000e+05
1.5334e-01 8.1420e+04 -1.1226e+05 3.4804e-02 1.0000e+05
2.0335e-01 7.5976e+04 -1.2375e+05 3.4808e-02 1.0000e+05
2.5422e-01 7.3140e+04 -1.3932e+05 3.4808e-02 1.0000e+05
3.0374e-01 7.2590e+04 -1.5965e+05 3.4812e-02 1.0000e+05
3.5387e-01 7.3284e+04 -1.8636e+05 3.4812e-02 1.0000e+05
4.0336e-01 7.5136e+04 -2.1752e+05 3.4814e-02 1.0000e+05
4.5371e-01 7.7658e+04 -2.5562e+05 3.4815e-02 1.0000e+05
5.0409e-01 8.0826e+04 -3.0450e+05 3.4818e-02 1.0000e+05
5.5424e-01 8.4554e+04 -3.6073e+05 3.4819e-02 1.0000e+05
6.0365e-01 8.8797e+04 -4.3571e+05 3.4822e-02 1.0000e+05
6.5380e-01 9.3164e+04 -5.1957e+05 3.4824e-02 1.0000e+05
7.0346e-01 9.8242e+04 -6.4704e+05 3.4824e-02 1.0000e+05
7.5057e-01 1.0335e+05 -7.8240e+05 3.4826e-02 1.0000e+05
8.0193e-01 1.0920e+05 -9.8536e+05 3.4826e-02 1.0000e+05
8.5202e-01 1.1529e+05 -1.2579e+06 3.4827e-02 1.0000e+05
9.0235e-01 1.2147e+05 -1.6688e+06 3.4828e-02 1.0000e+05
9.5557e-01 1.2876e+05 -2.3807e+06 3.4829e-02 1.0000e+05
1.0059e+00 1.3642e+05 -4.2532e+06 3.4830e-02 1.0000e+05
1.0055e+00 1.3633e+05 -3.7202e+06 3.4830e-02 1.0000e+05
9.5483e-01 1.2906e+05 -2.2849e+06 3.4827e-02 1.0000e+05
9.0023e-01 1.2238e+05 -1.7110e+06 3.4827e-02 1.0000e+05
8.5174e-01 1.1505e+05 -1.2864e+06 3.4827e-02 1.0000e+05
8.0254e-01 1.0910e+05 -9.9403e+05 3.4827e-02 1.0000e+05
7.5278e-01 1.0401e+05 -7.8866e+05 3.4827e-02 1.0000e+05
7.0238e-01 1.0134e-05 -6.4506e+05 3.4824e-02 1.0000e+05
6.5590e-01 9.3630e+04 -5.3132e+05 3.4823e-02 1.0000e+05
6.0485e-01 8.8938e+04 -4.3767e+05 3.4822e-02 1.0000e+05
5.5423e-01 8.4877e+04 -3.6455e+05 3.4820e-02 1.0000e+05
5.0460e-01 8.1142e+04 -3.0595e+05 3.4817e-02 1.0000e+05
4.5343e-01 7.8112e+04 -2.5667e+05 3.4816e-02 1.0000e+05
4.0354e-01 7.5549e+04 -2.1900e+05 3.4816e-02 1.0000e+05
3.5394e-01 7.3902e+04 -1.8629e+05 3.4812e-02 1.0000e+05
3.0357e-01 7.2934e+04 -1.6030e+05 3.4809e-02 1.0000e+05
2.5438e-01 7.3750e+04 -1.4001e+05 3.4810e-02 1.0000e+05
2.0323e-01 7.6581e+04 -1.2479e+05 3.4808e-02 1.0000e+05
1.5349e-01 8.1899e+04 -1.1270e+05 3.4804e-02 1.0000e+05
1.0370e-01 8.8249e+04 -1.0138e+05 3.4800e-02 1.0000e+05
5.4064e-02 9.1388e+04 -8.9238e+04 3.4790e-02 1.0000e+05
4.3520e-03 9.2600e+04 -8.4732e+04 3.4769e-02 1.0000e+05
-4.5536e-02 9.3825e+04 -9.3491e+04 3.4751e-02 1.0000e+05
-9.5240e-02 9.0324e+04 -1.0625e+05 3.4739e-02 1.0000e+05
-1.4523e-01 8.4026e+04 -1.1757e+05 3.4735e-02 1.0000e+05
-1.9494e-01 7.8837e+04 -1.3015e+05 3.4729e-02 1.0000e+05
-2.4588e-01 7.6185e+04 -1.4687e+05 3.4727e-02 1.0000e+05
-2.9550e-01 7.5617e+04 -1.6843e+05 3.4727e-02 1.0000e+05
-3.4534e-01 7.6284e+04 -1.9605e+05 3.4728e-02 1.0000e+05
-3.9522e-01 7.7937e+04 -2.3029e+05 3.4731e-02 1.0000e+05
-4.4483e-01 8.0554e+04 -2.7141e+05 3.4734e-02 1.0000e+05
-4.9572e-01 8.3593e+04 -3.2129e+05 3.4736e-02 1.0000e+05
-5.4550e-01 8.7225e+04 -3.8930e+05 3.4738e-02 1.0000e+05
-5.9566e-01 9.1316e+04 -4.7062e+05 3.4741e-02 1.0000e+05
-6.4523e-01 9.6059e+04 -5.6803e+05 3.4743e-02 1.0000e+05
-6.9731e-01 1.0093e+05 -7.0501e+05 3.4746e-02 1.0000e+05
-7.4603e-01 1.0701e+05 -8.8682e+05 3.4747e-02 1.0000e+05
-7.9506e-01 1.1303e+05 -1.1030e+06 3.4748e-02 1.0000e+05
-8.4477e-01 1.1972e+05 -1.5485e+06 3.4751e-02 1.0000e+05
-8.9214e-01 1.2616e+05 -2.0337e+06 3.4754e-02 1.0000e+05
-9.4341e-01 1.3340e+05 -3.3500e+06 3.4754e-02 1.0000e+05
-9.9418e-01 1.4158e+05 -6.6373e+06 3.4757e-02 1.0000e+05




