  Measurement Number     Measurement type
               14978                DC IV

      Measurement ID             SeriesID
       740024.697213                    0

         MeasureMode                Bias1                Bias2
                   1                   -1                    1

                Step  Positive compliance  Negative compliance
                0.05                  0.1                  0.1

  RealMeasuredPoints
                  82

        Bias        Current     Resistance
-1.0000e+00   -3.5154e-09   2.8446e+08
-9.5000e-01   -1.3876e-09   6.8464e+08
-9.0000e-01   -3.4900e-12   2.5788e+11
-8.5000e-01   6.7510e-11   -1.2591e+10
-8.0000e-01   4.4880e-11   -1.7825e+10
-7.5000e-01   9.4730e-11   -7.9172e+09
-7.0000e-01   8.8640e-11   -7.8971e+09
-6.5000e-01   1.3089e-10   -4.9660e+09
-6.0000e-01   9.5260e-11   -6.2986e+09
-5.5000e-01   1.0953e-10   -5.0215e+09
-5.0000e-01   7.0420e-11   -7.1003e+09
-4.5000e-01   1.2054e-10   -3.7332e+09
-4.0000e-01   1.0837e-10   -3.6911e+09
-3.5000e-01   8.8490e-11   -3.9552e+09
-3.0000e-01   1.0423e-10   -2.8783e+09
-2.5000e-01   1.0652e-10   -2.3470e+09
-2.0000e-01   1.2146e-10   -1.6466e+09
-1.5000e-01   1.0831e-10   -1.3849e+09
-1.0000e-01   1.1100e-10   -9.0090e+08
-5.0000e-02   8.6100e-11   -5.8072e+08
0.0000e+00   1.1253e-10   0.0000e+00
5.0000e-02   1.2697e-10   3.9379e+08
1.0000e-01   1.4185e-10   7.0497e+08
1.5000e-01   1.2606e-10   1.1899e+09
2.0000e-01   -9.3700e-12   -2.1345e+10
2.5000e-01   1.5458e-10   1.6173e+09
3.0000e-01   1.2329e-10   2.4333e+09
3.5000e-01   1.3831e-10   2.5305e+09
4.0000e-01   1.4110e-10   2.8349e+09
4.5000e-01   1.3593e-10   3.3105e+09
5.0000e-01   1.4080e-10   3.5511e+09
5.5000e-01   1.2020e-10   4.5757e+09
6.0000e-01   5.5070e-11   1.0895e+10
6.5000e-01   1.2163e-10   5.3441e+09
7.0000e-01   1.3466e-10   5.1983e+09
7.5000e-01   1.2427e-10   6.0352e+09
8.0000e-01   1.2421e-10   6.4407e+09
8.5000e-01   1.1594e-10   7.3314e+09
9.0000e-01   1.2123e-10   7.4239e+09
9.5000e-01   1.1411e-10   8.3253e+09
1.0000e+00   1.5095e-10   6.6247e+09
1.0000e+00   7.7120e-11   1.2967e+10
9.5000e-01   -7.4360e-11   -1.2776e+10
9.0000e-01   -1.3651e-10   -6.5929e+09
8.5000e-01   -1.3148e-10   -6.4649e+09
8.0000e-01   -5.8820e-11   -1.3601e+10
7.5000e-01   -6.3640e-11   -1.1785e+10
7.0000e-01   -8.1180e-11   -8.6228e+09
6.5000e-01   -1.0976e-10   -5.9220e+09
6.0000e-01   -1.0428e-10   -5.7537e+09
5.5000e-01   -1.1104e-10   -4.9532e+09
5.0000e-01   -1.2119e-10   -4.1258e+09
4.5000e-01   -1.0557e-10   -4.2626e+09
4.0000e-01   -7.5550e-11   -5.2945e+09
3.5000e-01   -7.1110e-11   -4.9220e+09
3.0000e-01   -1.0576e-10   -2.8366e+09
2.5000e-01   -1.8817e-10   -1.3286e+09
2.0000e-01   -1.6610e-10   -1.2041e+09
1.5000e-01   -8.7180e-11   -1.7206e+09
1.0000e-01   -1.0075e-10   -9.9256e+08
5.0000e-02   -1.5083e-10   -3.3150e+08
0.0000e+00   -1.1429e-10   -0.0000e+00
-5.0000e-02   -1.3619e-10   3.6713e+08
-1.0000e-01   -1.3542e-10   7.3844e+08
-1.5000e-01   -1.5241e-10   9.8419e+08
-2.0000e-01   -1.0559e-10   1.8941e+09
-2.5000e-01   -1.2400e-10   2.0161e+09
-3.0000e-01   -8.5480e-11   3.5096e+09
-3.5000e-01   -1.1587e-10   3.0206e+09
-4.0000e-01   -1.1783e-10   3.3947e+09
-4.5000e-01   -7.9920e-11   5.6306e+09
-5.0000e-01   -1.1263e-10   4.4393e+09
-5.5000e-01   -1.3162e-10   4.1787e+09
-6.0000e-01   -9.0760e-11   6.6108e+09
-6.5000e-01   -9.9680e-11   6.5209e+09
-7.0000e-01   -1.4594e-10   4.7965e+09
-7.5000e-01   -1.3975e-10   5.3667e+09
-8.0000e-01   -1.0113e-10   7.9106e+09
-8.5000e-01   -1.0605e-10   8.0151e+09
-9.0000e-01   -1.2668e-10   7.1045e+09
-9.5000e-01   -1.2344e-10   7.6960e+09
-1.0000e+00   -7.8500e-11   1.2739e+10
