  Measurement Number     Measurement type
               14974                DC IV

      Measurement ID             SeriesID
       740024.689517                    0

         MeasureMode                Bias1                Bias2
                   1                   -1                    1

                Step  Positive compliance  Negative compliance
                0.05                  0.1                  0.1

  RealMeasuredPoints
                  82

        Bias        Current     Resistance
-1.0000e+00   -1.4174e-05   7.0552e+04
-9.5000e-01   -1.3820e-05   6.8741e+04
-9.0000e-01   -1.3442e-05   6.6954e+04
-8.5000e-01   -1.3038e-05   6.5194e+04
-8.0000e-01   -1.2604e-05   6.3472e+04
-7.5000e-01   -1.2146e-05   6.1749e+04
-7.0000e-01   -1.1650e-05   6.0086e+04
-6.5000e-01   -1.1126e-05   5.8422e+04
-6.0000e-01   -1.0564e-05   5.6797e+04
-5.5000e-01   -9.9622e-06   5.5209e+04
-5.0000e-01   -9.3195e-06   5.3651e+04
-4.5000e-01   -8.6331e-06   5.2125e+04
-4.0000e-01   -7.9015e-06   5.0623e+04
-3.5000e-01   -7.1215e-06   4.9147e+04
-3.0000e-01   -6.2916e-06   4.7683e+04
-2.5000e-01   -5.4112e-06   4.6200e+04
-2.0000e-01   -4.4865e-06   4.4578e+04
-1.5000e-01   -3.5189e-06   4.2627e+04
-1.0000e-01   -2.5009e-06   3.9986e+04
-5.0000e-02   -1.3878e-06   3.6028e+04
0.0000e+00   -1.5052e-07   -0.0000e+00
5.0000e-02   1.0792e-06   4.6331e+04
1.0000e-01   2.1780e-06   4.5914e+04
1.5000e-01   3.1985e-06   4.6897e+04
2.0000e-01   4.1799e-06   4.7848e+04
2.5000e-01   5.1297e-06   4.8736e+04
3.0000e-01   6.0365e-06   4.9698e+04
3.5000e-01   6.8942e-06   5.0767e+04
4.0000e-01   7.7026e-06   5.1931e+04
4.5000e-01   8.4626e-06   5.3175e+04
5.0000e-01   9.1760e-06   5.4490e+04
5.5000e-01   9.8443e-06   5.5870e+04
6.0000e-01   1.0471e-05   5.7302e+04
6.5000e-01   1.1058e-05   5.8779e+04
7.0000e-01   1.1600e-05   6.0345e+04
7.5000e-01   1.2112e-05   6.1922e+04
8.0000e-01   1.2598e-05   6.3502e+04
8.5000e-01   1.3050e-05   6.5134e+04
9.0000e-01   1.3476e-05   6.6785e+04
9.5000e-01   1.3872e-05   6.8483e+04
1.0000e+00   1.4250e-05   7.0175e+04
1.0000e+00   1.4246e-05   7.0195e+04
9.5000e-01   1.3874e-05   6.8473e+04
9.0000e-01   1.3470e-05   6.6815e+04
8.5000e-01   1.3048e-05   6.5144e+04
8.0000e-01   1.2592e-05   6.3532e+04
7.5000e-01   1.2110e-05   6.1932e+04
7.0000e-01   1.1592e-05   6.0386e+04
6.5000e-01   1.1042e-05   5.8866e+04
6.0000e-01   1.0456e-05   5.7383e+04
5.5000e-01   9.8273e-06   5.5967e+04
5.0000e-01   9.1580e-06   5.4597e+04
4.5000e-01   8.4457e-06   5.3282e+04
4.0000e-01   7.6871e-06   5.2035e+04
3.5000e-01   6.8795e-06   5.0876e+04
3.0000e-01   6.0204e-06   4.9831e+04
2.5000e-01   5.1147e-06   4.8879e+04
2.0000e-01   4.1670e-06   4.7996e+04
1.5000e-01   3.1857e-06   4.7085e+04
1.0000e-01   2.1655e-06   4.6179e+04
5.0000e-02   1.0647e-06   4.6962e+04
0.0000e+00   -1.6674e-07   -0.0000e+00
-5.0000e-02   -1.4087e-06   3.5494e+04
-1.0000e-01   -2.5261e-06   3.9587e+04
-1.5000e-01   -3.5503e-06   4.2250e+04
-2.0000e-01   -4.5232e-06   4.4216e+04
-2.5000e-01   -5.4515e-06   4.5859e+04
-3.0000e-01   -6.3338e-06   4.7365e+04
-3.5000e-01   -7.1670e-06   4.8835e+04
-4.0000e-01   -7.9498e-06   5.0316e+04
-4.5000e-01   -8.6829e-06   5.1826e+04
-5.0000e-01   -9.3691e-06   5.3367e+04
-5.5000e-01   -1.0012e-05   5.4935e+04
-6.0000e-01   -1.0613e-05   5.6532e+04
-6.5000e-01   -1.1176e-05   5.8160e+04
-7.0000e-01   -1.1688e-05   5.9890e+04
-7.5000e-01   -1.2180e-05   6.1576e+04
-8.0000e-01   -1.2640e-05   6.3291e+04
-8.5000e-01   -1.3070e-05   6.5034e+04
-9.0000e-01   -1.3472e-05   6.6805e+04
-9.5000e-01   -1.3846e-05   6.8612e+04
-1.0000e+00   -1.4198e-05   7.0432e+04
