  Measurement Number     Measurement type
               14975                DC IV

      Measurement ID             SeriesID
       740024.690893                    0

         MeasureMode                Bias1                Bias2
                   1                   -2                    2

                Step  Positive compliance  Negative compliance
                0.05                  0.1                  0.1

  RealMeasuredPoints
                 162

        Bias        Current     Resistance
-2.0000e+00   -1.8264e-05   1.0951e+05
-1.9500e+00   -1.8154e-05   1.0741e+05
-1.9000e+00   -1.8034e-05   1.0536e+05
-1.8500e+00   -1.7910e-05   1.0329e+05
-1.8000e+00   -1.7780e-05   1.0124e+05
-1.7500e+00   -1.7644e-05   9.9184e+04
-1.7000e+00   -1.7502e-05   9.7132e+04
-1.6500e+00   -1.7348e-05   9.5112e+04
-1.6000e+00   -1.7188e-05   9.3088e+04
-1.5500e+00   -1.7016e-05   9.1091e+04
-1.5000e+00   -1.6836e-05   8.9095e+04
-1.4500e+00   -1.6644e-05   8.7118e+04
-1.4000e+00   -1.6440e-05   8.5158e+04
-1.3500e+00   -1.6224e-05   8.3210e+04
-1.3000e+00   -1.5998e-05   8.1260e+04
-1.2500e+00   -1.5752e-05   7.9355e+04
-1.2000e+00   -1.5492e-05   7.7459e+04
-1.1500e+00   -1.5216e-05   7.5578e+04
-1.1000e+00   -1.4922e-05   7.3717e+04
-1.0500e+00   -1.4608e-05   7.1878e+04
-1.0000e+00   -1.4274e-05   7.0057e+04
-9.5000e-01   -1.3918e-05   6.8257e+04
-9.0000e-01   -1.3536e-05   6.6489e+04
-8.5000e-01   -1.3130e-05   6.4737e+04
-8.0000e-01   -1.2694e-05   6.3022e+04
-7.5000e-01   -1.2230e-05   6.1325e+04
-7.0000e-01   -1.1738e-05   5.9635e+04
-6.5000e-01   -1.1208e-05   5.7994e+04
-6.0000e-01   -1.0642e-05   5.6380e+04
-5.5000e-01   -1.0034e-05   5.4814e+04
-5.0000e-01   -9.3901e-06   5.3248e+04
-4.5000e-01   -8.6989e-06   5.1731e+04
-4.0000e-01   -7.9619e-06   5.0239e+04
-3.5000e-01   -7.1754e-06   4.8778e+04
-3.0000e-01   -6.3399e-06   4.7319e+04
-2.5000e-01   -5.4556e-06   4.5824e+04
-2.0000e-01   -4.5247e-06   4.4202e+04
-1.5000e-01   -3.5513e-06   4.2238e+04
-1.0000e-01   -2.5290e-06   3.9541e+04
-5.0000e-02   -1.4132e-06   3.5381e+04
0.0000e+00   -1.7078e-07   -0.0000e+00
5.0000e-02   1.0635e-06   4.7015e+04
1.0000e-01   2.1642e-06   4.6206e+04
1.5000e-01   3.1875e-06   4.7059e+04
2.0000e-01   4.1701e-06   4.7960e+04
2.5000e-01   5.1190e-06   4.8838e+04
3.0000e-01   6.0254e-06   4.9789e+04
3.5000e-01   6.8847e-06   5.0837e+04
4.0000e-01   7.6937e-06   5.1991e+04
4.5000e-01   8.4538e-06   5.3230e+04
5.0000e-01   9.1664e-06   5.4547e+04
5.5000e-01   9.8361e-06   5.5916e+04
6.0000e-01   1.0462e-05   5.7349e+04
6.5000e-01   1.1050e-05   5.8826e+04
7.0000e-01   1.1590e-05   6.0397e+04
7.5000e-01   1.2106e-05   6.1953e+04
8.0000e-01   1.2590e-05   6.3542e+04
8.5000e-01   1.3042e-05   6.5174e+04
9.0000e-01   1.3464e-05   6.6845e+04
9.5000e-01   1.3862e-05   6.8533e+04
1.0000e+00   1.4236e-05   7.0244e+04
1.0500e+00   1.4590e-05   7.1967e+04
1.1000e+00   1.4916e-05   7.3746e+04
1.1500e+00   1.5226e-05   7.5529e+04
1.2000e+00   1.5516e-05   7.7340e+04
