  Measurement Number     Measurement type
               14972           CVSweepNew

      Measurement ID             SeriesID
       740024.681854                    0

         MeasureMode                Start                 Stop
                   1                   -2                    2

                Step           Sweep mode            Frequency
                0.05                    3               100000

            AC level                Abort          After abort
                0.05                    0                    1

           Hold time           Delay time      Stop delay time
                   0                    0                    0

  RealMeasuredPoints
                 162

     Voltage   Resistance    Reactance      ACLevel    Frequency
-1.9956e+00 6.0234e+05 9.5372e+05 3.4831e-02 1.0000e+05
-1.9448e+00 5.8119e+05 9.1287e+05 3.4831e-02 1.0000e+05
-1.8947e+00 5.5517e+05 8.8916e+05 3.4831e-02 1.0000e+05
-1.8450e+00 5.2829e+05 8.5386e+05 3.4827e-02 1.0000e+05
-1.7953e+00 5.1823e+05 8.5833e+05 3.4829e-02 1.0000e+05
-1.7452e+00 4.9065e+05 8.3816e+05 3.4829e-02 1.0000e+05
-1.6948e+00 4.6232e+05 8.2529e+05 3.4831e-02 1.0000e+05
-1.6445e+00 4.4353e+05 8.0661e+05 3.4828e-02 1.0000e+05
-1.5949e+00 4.2532e+05 7.8182e+05 3.4829e-02 1.0000e+05
-1.5449e+00 4.0578e+05 7.5519e+05 3.4827e-02 1.0000e+05
-1.4949e+00 3.8670e+05 7.4897e+05 3.4827e-02 1.0000e+05
-1.4445e+00 3.6334e+05 7.1680e+05 3.4828e-02 1.0000e+05
-1.3941e+00 3.4097e+05 7.1065e+05 3.4827e-02 1.0000e+05
-1.3448e+00 3.2568e+05 6.9605e+05 3.4825e-02 1.0000e+05
-1.2946e+00 3.0498e+05 6.7034e+05 3.4826e-02 1.0000e+05
-1.2450e+00 2.9008e+05 6.5080e+05 3.4827e-02 1.0000e+05
-1.1939e+00 2.7511e+05 6.4990e+05 3.4826e-02 1.0000e+05
-1.1439e+00 2.5895e+05 6.3494e+05 3.4825e-02 1.0000e+05
-1.0945e+00 2.4388e+05 6.2033e+05 3.4825e-02 1.0000e+05
-1.0443e+00 2.2902e+05 5.9956e+05 3.4823e-02 1.0000e+05
-9.9499e-01 2.1763e+05 5.8024e+05 3.4824e-02 1.0000e+05
-9.4353e-01 2.0373e+05 5.8451e+05 3.4824e-02 1.0000e+05
-8.9404e-01 1.9311e+05 5.5511e+05 3.4823e-02 1.0000e+05
-8.4418e-01 1.8054e+05 5.3852e+05 3.4823e-02 1.0000e+05
-7.9410e-01 1.6886e+05 5.1465e+05 3.4822e-02 1.0000e+05
-7.4451e-01 1.5904e+05 5.0559e+05 3.4821e-02 1.0000e+05
-6.9332e-01 1.4801e+05 5.0494e+05 3.4820e-02 1.0000e+05
-6.4360e-01 1.3860e+05 4.9465e+05 3.4818e-02 1.0000e+05
-5.9718e-01 1.3003e+05 4.9486e+05 3.4818e-02 1.0000e+05
-5.4575e-01 1.2144e+05 4.7814e+05 3.4819e-02 1.0000e+05
-4.9492e-01 1.1349e+05 4.6951e+05 3.4816e-02 1.0000e+05
-4.4418e-01 1.0593e+05 4.6192e+05 3.4815e-02 1.0000e+05
-3.9446e-01 1.0141e-05 4.5602e+05 3.4814e-02 1.0000e+05
-3.4226e-01 9.2264e+04 4.5057e+05 3.4812e-02 1.0000e+05
-2.9447e-01 8.5896e+04 4.5425e+05 3.4810e-02 1.0000e+05
-2.4524e-01 7.9754e+04 4.6603e+05 3.4810e-02 1.0000e+05
-1.9506e-01 7.3980e+04 4.5981e+05 3.4808e-02 1.0000e+05
-1.4490e-01 6.8748e+04 4.7628e+05 3.4805e-02 1.0000e+05
-9.5488e-02 6.3705e+04 4.8962e+05 3.4804e-02 1.0000e+05
-4.5272e-02 5.8863e+04 5.2292e+05 3.4805e-02 1.0000e+05
4.4400e-03 5.4541e+04 5.7146e+05 3.4800e-02 1.0000e+05
5.4048e-02 5.0421e+04 6.4824e+05 3.4796e-02 1.0000e+05
1.0378e-01 4.6730e+04 7.7278e+05 3.4795e-02 1.0000e+05
1.5338e-01 4.3042e+04 1.0965e+06 3.4792e-02 1.0000e+05
2.0365e-01 3.6558e+04 3.2338e+06 3.4785e-02 1.0000e+05
2.5426e-01 2.2726e+04 -8.9993e+05 3.4755e-02 1.0000e+05
3.0377e-01 1.0023e-04 -2.1252e+05 3.4655e-02 1.0000e+05
3.5330e-01 4.4981e+03 -9.1980e+04 3.4442e-02 1.0000e+05
4.0253e-01 2.6545e+03 -5.7457e+04 3.4176e-02 1.0000e+05
4.5140e-01 1.9683e+03 -4.5208e+04 3.3952e-02 1.0000e+05
5.0091e-01 1.6672e+03 -4.0178e+04 3.3798e-02 1.0000e+05
5.4911e-01 1.5161e+03 -3.7679e+04 3.3698e-02 1.0000e+05
5.9744e-01 1.4288e+03 -3.6206e+04 3.3632e-02 1.0000e+05
6.4534e-01 1.3734e+03 -3.5448e+04 3.3585e-02 1.0000e+05
6.9385e-01 1.3357e+03 -3.5033e+04 3.3551e-02 1.0000e+05
7.4246e-01 1.3078e+03 -3.4607e+04 3.3524e-02 1.0000e+05
7.9095e-01 1.2872e+03 -3.4268e+04 3.3504e-02 1.0000e+05
8.3871e-01 1.2706e+03 -3.4195e+04 3.3487e-02 1.0000e+05
8.8679e-01 1.2568e+03 -3.3935e+04 3.3474e-02 1.0000e+05
9.3474e-01 1.2447e+03 -3.3742e+04 3.3460e-02 1.0000e+05
9.8338e-01 1.2342e+03 -3.3566e+04 3.3450e-02 1.0000e+05
1.0317e+00 1.2251e+03 -3.3327e+04 3.3437e-02 1.0000e+05
1.0792e+00 1.2172e+03 -3.3266e+04 3.3430e-02 1.0000e+05
1.1274e+00 1.2102e+03 -3.3088e+04 3.3423e-02 1.0000e+05
1.1748e+00 1.2039e+03 -3.2901e+04 3.3415e-02 1.0000e+05
1.2239e+00 1.1984e+03 -3.2730e+04 3.3411e-02 1.0000e+05
1.2717e+00 1.1936e+03 -3.2607e+04 3.3405e-02 1.0000e+05
1.3196e+00 1.1894e+03 -3.2489e+04 3.3401e-02 1.0000e+05
1.3676e+00 1.1856e+03 -3.2361e+04 3.3395e-02 1.0000e+05
1.4150e+00 1.1824e+03 -3.2329e+04 3.3391e-02 1.0000e+05
1.4643e+00 1.1793e+03 -3.2295e+04 3.3388e-02 1.0000e+05
1.5115e+00 1.1767e+03 -3.2325e+04 3.3385e-02 1.0000e+05
1.5595e+00 1.1743e+03 -3.2148e+04 3.3381e-02 1.0000e+05
1.6069e+00 1.1720e+03 -3.2029e+04 3.3379e-02 1.0000e+05
1.6547e+00 1.1701e+03 -3.1920e+04 3.3376e-02 1.0000e+05
1.7035e+00 1.1682e+03 -3.1945e+04 3.3376e-02 1.0000e+05
1.7509e+00 1.1669e+03 -3.1856e+04 3.3374e-02 1.0000e+05
1.7990e+00 1.1653e+03 -3.1818e+04 3.3371e-02 1.0000e+05
1.8461e+00 1.1641e+03 -3.1843e+04 3.3370e-02 1.0000e+05
1.8942e+00 1.1630e+03 -3.1733e+04 3.3368e-02 1.0000e+05
1.9454e+00 1.1619e+03 -3.1802e+04 3.3367e-02 1.0000e+05
1.9448e+00 1.1616e+03 -3.1768e+04 3.3367e-02 1.0000e+05
1.8921e+00 1.1630e+03 -3.1774e+04 3.3368e-02 1.0000e+05
1.8451e+00 1.1641e+03 -3.1846e+04 3.3369e-02 1.0000e+05
