  Measurement Number     Measurement type
               14980                DC IV

      Measurement ID             SeriesID
       740024.698256                    0

         MeasureMode                Bias1                Bias2
                   1                   -2                    2

                Step  Positive compliance  Negative compliance
                0.05                  0.1                  0.1

  RealMeasuredPoints
                 162

        Bias        Current     Resistance
-2.0000e+00   -6.5577e-09   3.0498e+08
-1.9500e+00   -3.9759e-09   4.9045e+08
-1.9000e+00   -1.5818e-09   1.2012e+09
-1.8500e+00   -7.0930e-11   2.6082e+10
-1.8000e+00   5.9000e-12   -3.0508e+11
-1.7500e+00   1.4170e-11   -1.2350e+11
-1.7000e+00   2.8010e-11   -6.0693e+10
-1.6500e+00   3.2950e-11   -5.0076e+10
-1.6000e+00   3.5310e-11   -4.5313e+10
-1.5500e+00   3.9130e-11   -3.9612e+10
-1.5000e+00   3.3980e-11   -4.4144e+10
-1.4500e+00   4.8230e-11   -3.0064e+10
-1.4000e+00   5.3700e-11   -2.6071e+10
-1.3500e+00   3.7920e-11   -3.5601e+10
-1.3000e+00   3.8040e-11   -3.4175e+10
-1.2500e+00   6.4270e-11   -1.9449e+10
-1.2000e+00   5.9240e-11   -2.0257e+10
-1.1500e+00   6.9760e-11   -1.6485e+10
-1.1000e+00   6.2130e-11   -1.7705e+10
-1.0500e+00   8.5300e-11   -1.2309e+10
-1.0000e+00   7.1460e-11   -1.3994e+10
-9.5000e-01   3.8549e-10   -2.4644e+09
-9.0000e-01   6.0830e-11   -1.4795e+10
-8.5000e-01   7.3130e-11   -1.1623e+10
-8.0000e-01   6.8220e-11   -1.1727e+10
-7.5000e-01   7.8000e-11   -9.6154e+09
-7.0000e-01   7.6850e-10   -9.1087e+08
-6.5000e-01   -3.8340e-11   1.6954e+10
-6.0000e-01   6.8140e-11   -8.8054e+09
-5.5000e-01   8.2210e-11   -6.6902e+09
-5.0000e-01   8.1630e-11   -6.1252e+09
-4.5000e-01   6.8190e-11   -6.5992e+09
-4.0000e-01   8.0940e-11   -4.9419e+09
-3.5000e-01   7.6950e-11   -4.5484e+09
-3.0000e-01   6.4730e-11   -4.6346e+09
-2.5000e-01   7.9770e-11   -3.1340e+09
-2.0000e-01   2.1080e-11   -9.4877e+09
-1.5000e-01   5.6760e-11   -2.6427e+09
-1.0000e-01   7.5350e-11   -1.3271e+09
-5.0000e-02   7.0440e-11   -7.0982e+08
0.0000e+00   8.8100e-11   0.0000e+00
5.0000e-02   8.4150e-11   5.9418e+08
1.0000e-01   2.0218e-10   4.9461e+08
1.5000e-01   8.6690e-11   1.7303e+09
2.0000e-01   9.1610e-11   2.1832e+09
2.5000e-01   8.0800e-11   3.0941e+09
3.0000e-01   8.1700e-11   3.6720e+09
3.5000e-01   8.5600e-11   4.0888e+09
4.0000e-01   8.4530e-11   4.7320e+09
4.5000e-01   5.1180e-11   8.7925e+09
5.0000e-01   7.4750e-11   6.6890e+09
5.5000e-01   6.5530e-11   8.3931e+09
6.0000e-01   8.1450e-11   7.3665e+09
6.5000e-01   8.7500e-11   7.4286e+09
7.0000e-01   1.2524e-10   5.5893e+09
7.5000e-01   8.5200e-11   8.8028e+09
8.0000e-01   9.2740e-11   8.6263e+09
8.5000e-01   -2.5160e-11   -3.3784e+10
9.0000e-01   8.2620e-11   1.0893e+10
9.5000e-01   9.4600e-11   1.0042e+10
1.0000e+00   9.0820e-11   1.1011e+10
1.0500e+00   4.2560e-11   2.4671e+10
1.1000e+00   8.6230e-11   1.2757e+10
1.1500e+00   8.7600e-11   1.3128e+10
1.2000e+00   8.9870e-11   1.3353e+10
