t (s),V (mV)
0,10.4314
0.971,10.4282
1.961,10.416
2.961,10.4069
3.962,10.3988
4.962,10.3893
5.962,10.3788
6.962,10.3708
7.962,10.3613
8.961,10.3535
9.962,10.3447
10.962,10.3353
11.961,10.3264
12.961,10.3176
13.961,10.3087
14.962,10.2999
15.962,10.2908
16.962,10.2813
17.961,10.2721
18.961,10.2637
19.962,10.2541
20.962,10.2447
21.961,10.2373
22.961,10.2276
23.962,10.2189
24.962,10.2105
25.961,10.2014
26.962,10.1923
27.962,10.1825
28.962,10.1739
29.961,10.1653
30.961,10.1557
31.962,10.1476
32.962,10.1381
33.962,10.1278
34.961,10.119
35.961,10.1098
36.962,10.1006
37.962,10.0912
38.961,10.0829
39.961,10.0729
40.962,10.0639
41.962,10.0548
42.962,10.0451
43.961,10.0364
44.961,10.0255
45.961,10.0161
46.961,10.0072
47.962,9.9996
48.963,9.9892
49.963,9.9802
50.963,9.9699
51.963,9.9612
52.963,9.952
53.963,9.9429
54.963,9.9345
55.963,9.9265
56.963,9.9164
57.963,9.9082
58.962,9.9003
59.963,9.8911
60.963,9.8829
61.963,9.8743
62.963,9.8655
63.963,9.8572
64.963,9.8483
65.963,9.8398
66.963,9.8307
67.963,9.8226
68.963,9.8139
69.963,9.8046
70.963,9.7971
71.963,9.7876
72.963,9.7796
73.963,9.7709
74.963,9.7623
75.963,9.7538
76.963,9.7466
77.963,9.7375
78.963,9.7291
79.963,9.7201
80.963,9.7114
81.963,9.7032
82.963,9.6943
83.963,9.6861
84.963,9.6776
85.963,9.6694
86.963,9.6612
87.963,9.6524
88.963,9.6433
89.963,9.6347
90.963,9.6257
91.963,9.6183
92.963,9.6097
93.963,9.6017
94.963,9.5934
95.963,9.5852
96.963,9.5765
97.963,9.5679
98.963,9.5594
99.963,9.5514
100.963,9.5427
101.963,9.5346
102.963,9.5255
103.963,9.5171
104.963,9.5089
105.963,9.5001
106.963,9.4921
107.963,9.4834
108.963,9.4753
109.963,9.4678
110.963,9.459
111.963,9.4512
112.962,9.443
113.963,9.4345
114.962,9.4262
115.962,9.4184
116.962,9.4096
117.962,9.4013
118.962,9.3934
119.962,9.385
120.962,9.3782
121.962,9.3687
122.963,9.3622
123.963,9.3537
124.963,9.3459
125.962,9.3371
126.963,9.3294
127.963,9.3212
128.963,9.3134
129.963,9.3063
130.963,9.2979
131.963,9.2905
132.963,9.2828
133.963,9.275
134.962,9.2666
135.963,9.2595
136.963,9.2511
137.962,9.2428
138.962,9.2349
139.962,9.2275
140.962,9.2208
141.962,9.2114
142.963,9.2047
143.963,9.1962
144.963,9.1882
145.963,9.1801
146.963,9.1729
147.963,9.1646
148.963,9.1571
149.963,9.1485
150.963,9.141
151.963,9.1333
152.963,9.1257
153.963,9.1186
154.962,9.1102
155.962,9.1015
156.962,9.0943
157.963,9.0868
158.963,9.0786
159.963,9.0709
160.963,9.0639
161.963,9.056
162.963,9.0479
163.963,9.0407
164.963,9.0333
165.963,9.0254
166.963,9.0172
167.963,9.0103
168.962,9.0004
169.962,8.9939
170.962,8.9863
171.963,8.9789
172.963,8.9714
173.963,8.9645
174.963,8.9569
175.963,8.9491
176.962,8.9412
177.963,8.9345
178.963,8.9266
179.963,8.9203
180.963,8.9125
181.962,8.9048
182.963,8.8976
183.963,8.8902
184.963,8.8835
185.963,8.8774
186.962,8.8685
187.962,8.8605
188.962,8.8536
189.962,8.8461
190.962,8.8389
191.962,8.8319
192.962,8.8257
193.963,8.8182
194.963,8.8107
195.963,8.8031
196.963,8.7975
197.962,8.7897
198.962,8.7823
199.962,8.7753
200.963,8.7678
201.963,8.7609
202.963,8.7537
203.963,8.7459
204.963,8.7382
205.963,8.7303
206.963,8.7234
207.963,8.715
208.963,8.7082
209.962,8.7006
210.962,8.6939
211.963,8.6862
212.963,8.6791
213.963,8.6713
214.963,8.6645
215.962,8.6578
216.962,8.6501
217.962,8.642
218.963,8.6349
219.963,8.6271
220.963,8.6198
221.962,8.6127
222.962,8.6054
223.962,8.598
224.963,8.5913
225.963,8.5846
226.963,8.5777
227.962,8.5702
228.963,8.564
229.963,8.5571
230.963,8.5505
231.962,8.5436
232.962,8.5365
233.963,8.5301
234.963,8.5228
235.963,8.5165
236.963,8.5095
237.963,8.5028
238.963,8.4958
239.963,8.4889
240.962,8.4821
241.963,8.475
242.963,8.4691
243.963,8.4622
244.962,8.4553
245.963,8.4489
246.963,8.4421
247.963,8.4353
248.963,8.4284
249.962,8.4214
250.962,8.4149
251.963,8.408
252.962,8.4005
253.963,8.3943
254.963,8.3862
255.963,8.3794
256.962,8.3725
257.963,8.3656
258.963,8.3587
259.963,8.3504
260.962,8.345
261.962,8.3382
262.963,8.3311
263.963,8.3241
264.962,8.3178
265.962,8.3113
266.963,8.3043
267.963,8.2978
268.963,8.2905
269.962,8.2846
270.962,8.2779
271.963,8.2714
272.963,8.2646
273.963,8.2579
274.962,8.2513
275.962,8.2442
276.963,8.238
277.963,8.231
278.963,8.2243
279.962,8.2172
280.963,8.2107
281.963,8.2043
282.962,8.1977
283.963,8.1915
284.963,8.1854
285.963,8.1783
286.962,8.1715
287.963,8.1638
288.963,8.1579
289.962,8.1513
290.963,8.1457
291.963,8.1393
292.962,8.1316
293.962,8.1253
294.963,8.1182
295.963,8.1128
296.962,8.106
297.963,8.0982
298.963,8.0921
299.963,8.0855
300.963,8.0786
301.963,8.0721
302.963,8.0655
303.963,8.0591
304.962,8.0528
305.963,8.0463
306.963,8.0392
307.962,8.0327
308.963,8.0258
309.963,8.02
310.963,8.0122
311.963,8.0057
312.962,7.9994
313.963,7.9923
314.963,7.9863
315.962,7.9794
316.963,7.9727
317.963,7.9657
318.962,7.9602
319.963,7.9537
320.963,7.9473
321.962,7.9402
322.963,7.9349
323.963,7.9276
324.962,7.9211
325.963,7.9154
326.963,7.9089
327.962,7.9023
328.963,7.8958
329.963,7.8899
330.963,7.8831
331.963,7.8762
332.962,7.8702
333.963,7.8639
334.963,7.8582
335.963,7.8506
336.963,7.8449
337.962,7.8393
338.963,7.8327
339.963,7.826
340.962,7.8201
341.963,7.8139
342.963,7.8075
343.962,7.7997
344.963,7.7949
345.963,7.7886
346.963,7.7821
347.963,7.7757
348.962,7.7687
349.963,7.7621
350.962,7.7558
351.963,7.7488
352.963,7.742
353.962,7.7374
354.963,7.7308
355.963,7.7249
356.962,7.7187
357.963,7.7126
358.963,7.7037
359.962,7.7011
360.963,7.6945
361.962,7.6887
362.963,7.6821
363.963,7.6765
364.962,7.6704
365.963,7.6645
366.963,7.6582
367.963,7.6531
368.963,7.6466
369.963,7.6402
370.963,7.6356
371.962,7.6295
372.963,7.6228
373.963,7.6176
374.962,7.6119
375.963,7.606
376.962,7.5997
377.963,7.5941
378.963,7.588
379.963,7.5816
380.963,7.5749
381.963,7.5695
382.963,7.5632
383.963,7.5578
384.963,7.5517
385.963,7.5455
386.963,7.5393
387.963,7.5337
388.963,7.5278
389.963,7.5211
390.963,7.5152
391.963,7.5096
392.963,7.5041
393.962,7.4979
394.963,7.4913
395.963,7.4849
396.962,7.479
397.963,7.4731
398.962,7.4669
399.963,7.4607
400.962,7.4546
401.963,7.4492
402.962,7.4441
403.963,7.4383
404.963,7.4321
405.963,7.4259
406.963,7.4197
407.962,7.4141
408.963,7.4077
409.962,7.4028
410.963,7.3963
411.963,7.3907
412.963,7.3849
413.963,7.379
414.963,7.3733
415.963,7.3676
416.963,7.362
417.963,7.3561
418.963,7.3509
419.963,7.3449
420.963,7.3392
421.962,7.3334
422.963,7.3276
423.962,7.3222
424.963,7.3164
425.962,7.311
426.963,7.3043
427.963,7.2988
428.963,7.293
429.962,7.2873
430.963,7.2812
431.962,7.2754
432.963,7.2687
433.963,7.2629
434.963,7.2572
435.963,7.2506
436.963,7.2458
437.963,7.24
438.963,7.2349
439.963,7.2292
440.963,7.2241
441.963,7.218
442.963,7.213
443.962,7.2072
444.963,7.2015
445.962,7.1963
446.963,7.1908
447.962,7.1854
448.963,7.1804
449.963,7.1746
450.962,7.1698
451.963,7.1645
452.962,7.1597
453.963,7.1542
454.963,7.1489
455.963,7.1427
456.963,7.1372
457.962,7.1321
458.963,7.1262
459.962,7.1202
460.963,7.1146
461.962,7.1092
462.963,7.1031
463.962,7.0973
464.963,7.0914
465.962,7.0851
466.963,7.0791
467.962,7.0735
468.963,7.0675
469.962,7.0622
470.963,7.0559
471.962,7.0509
472.963,7.0452
473.962,7.0391
474.963,7.0341
475.962,7.0297
476.963,7.0236
477.963,7.0179
478.963,7.013
479.962,7.0069
480.963,7.0012
481.962,6.9956
482.963,6.9899
483.963,6.9842
484.963,6.9787
485.963,6.9735
486.962,6.9681
