t (s),V (mV)
167.835,4.5449
168.835,4.5375
169.835,4.5307
170.835,4.5239
171.835,4.5183
172.836,4.511
173.835,4.5038
174.835,4.4961
175.836,4.4906
176.836,4.4837
177.835,4.476
178.835,4.47
179.835,4.4629
180.835,4.4556
181.835,4.4441
182.835,4.4426
183.835,4.4361
184.835,4.4296
185.835,4.4223
186.835,4.4158
187.835,4.4099
188.835,4.4033
189.835,4.3969
190.835,4.3902
191.835,4.384
192.835,4.3776
193.835,4.3707
194.835,4.3639
195.835,4.3582
196.835,4.3517
197.835,4.3442
198.835,4.3395
199.835,4.3325
200.835,4.3257
201.835,4.3191
202.835,4.3136
203.835,4.3065
204.835,4.3006
205.835,4.2936
206.835,4.2885
207.835,4.2815
208.835,4.2744
209.835,4.2673
210.835,4.2612
211.835,4.2551
212.835,4.2488
213.835,4.2428
214.835,4.2369
215.835,4.2313
216.835,4.2243
217.835,4.2189
218.835,4.2116
219.835,4.2061
220.835,4.1996
221.835,4.1934
222.835,4.1872
223.835,4.1807
224.835,4.1746
225.835,4.1689
226.835,4.1624
227.835,4.156
228.835,4.1502
229.836,4.1447
230.835,4.1368
231.835,4.1316
232.835,4.1261
233.835,4.1194
234.835,4.113
235.835,4.1076
236.835,4.1009
237.836,4.0956
238.835,4.0892
239.835,4.083
240.835,4.0774
241.835,4.07
242.835,4.064
243.835,4.0584
244.835,4.0518
245.835,4.046
246.835,4.0408
247.836,4.0341
248.835,4.0285
249.835,4.022
250.835,4.0171
251.835,4.0106
252.835,4.0044
253.835,3.9983
254.835,3.9923
255.835,3.9863
256.835,3.9799
257.835,3.9749
258.835,3.9692
259.835,3.9645
260.835,3.9582
261.835,3.952
262.835,3.9466
263.835,3.9406
264.835,3.9352
265.836,3.9287
266.836,3.9231
267.835,3.9176
268.835,3.9116
269.835,3.9062
270.835,3.8997
271.835,3.895
272.835,3.8882
273.835,3.883
274.835,3.877
275.835,3.8719
276.835,3.8665
277.835,3.8616
278.835,3.8563
279.835,3.8489
280.835,3.8429
281.835,3.838
282.836,3.8318
283.835,3.827
284.835,3.8209
285.835,3.8156
286.835,3.8099
287.835,3.8047
288.835,3.7987
289.835,3.7942
290.835,3.7873
291.835,3.7814
292.835,3.7752
293.835,3.7703
294.835,3.7648
295.835,3.7601
296.835,3.7535
297.835,3.7479
298.836,3.7425
299.835,3.7368
300.835,3.7313
301.835,3.7263
302.835,3.7206
303.835,3.7151
304.835,3.7099
305.835,3.7045
306.835,3.6918
307.835,3.6946
308.835,3.6879
309.835,3.6831
310.835,3.6764
311.835,3.6715
312.835,3.6666
313.835,3.661
314.835,3.6553
315.835,3.6498
316.835,3.6446
317.835,3.6389
318.835,3.6333
319.835,3.6282
320.835,3.6225
321.835,3.6173
322.835,3.612
323.835,3.6066
324.835,3.5997
325.835,3.595
326.835,3.59
327.835,3.5854
328.835,3.5794
329.835,3.5741
330.835,3.5692
331.835,3.5637
332.835,3.5596
333.835,3.5541
334.835,3.5477
335.835,3.5415
336.835,3.5379
337.835,3.5327
338.835,3.5267
339.835,3.5223
340.835,3.5174
341.836,3.5125
342.835,3.5073
343.835,3.5016
344.835,3.4974
345.835,3.4919
346.835,3.4863
