t (s),V (mV)
0,5.8834
0.949,5.8735
1.921,5.8673
2.859,5.857
3.835,5.8472
4.835,5.8382
5.835,5.8299
6.835,5.8206
7.835,5.8113
8.835,5.8023
9.835,5.7936
10.835,5.7845
11.835,5.7759
12.835,5.7667
13.835,5.7571
14.835,5.748
15.835,5.7399
16.835,5.7309
17.835,5.7219
18.835,5.7134
19.835,5.7038
20.835,5.6943
21.835,5.6874
22.835,5.6777
23.835,5.6685
24.835,5.6592
25.835,5.6509
26.835,5.6426
27.835,5.6335
28.836,5.6251
29.835,5.6167
30.835,5.6082
31.835,5.6003
32.835,5.5912
33.835,5.5827
34.836,5.5732
35.835,5.5656
36.835,5.556
37.835,5.5473
38.835,5.5389
39.835,5.5298
40.835,5.5205
41.835,5.513
42.835,5.5027
43.835,5.4946
44.836,5.485
45.835,5.4761
46.835,5.468
47.835,5.4594
48.835,5.4502
49.835,5.4419
50.835,5.4324
51.836,5.4249
52.836,5.4158
53.835,5.4082
54.835,5.3991
55.835,5.3901
56.835,5.3824
57.835,5.3741
58.835,5.3661
59.835,5.3581
60.835,5.3497
61.835,5.3409
62.835,5.3332
63.835,5.325
64.836,5.3164
65.836,5.3089
66.835,5.301
67.836,5.2935
68.835,5.2853
69.835,5.2771
70.836,5.2697
71.836,5.2615
72.835,5.254
73.835,5.2458
74.835,5.2371
75.835,5.2288
76.835,5.2212
77.835,5.2127
78.835,5.2041
79.835,5.1977
80.835,5.1894
81.835,5.1813
82.835,5.1734
83.835,5.1649
84.835,5.1572
85.835,5.1489
86.835,5.1414
87.835,5.1328
88.835,5.1265
89.835,5.1178
90.835,5.1106
91.835,5.1023
92.835,5.0943
93.835,5.087
94.835,5.0782
95.835,5.0706
96.835,5.0623
97.835,5.0559
98.835,5.0474
99.835,5.0381
100.835,5.0305
101.835,5.0229
102.835,5.0165
103.835,5.0102
104.835,4.9987
105.835,4.9923
106.835,4.9847
107.835,4.9777
108.835,4.9695
109.835,4.9624
110.835,4.9546
111.835,4.9473
112.835,4.9401
113.835,4.9317
114.835,4.9256
115.835,4.9174
116.835,4.91
117.836,4.9029
118.835,4.8951
119.835,4.8883
120.835,4.8803
121.835,4.8735
122.835,4.8657
123.835,4.8586
124.835,4.8516
125.835,4.8446
126.835,4.8376
127.835,4.8309
128.835,4.8235
129.835,4.8161
130.835,4.8091
131.835,4.802
132.835,4.7952
133.835,4.7881
134.835,4.7806
135.835,4.7741
136.835,4.7663
137.835,4.7595
138.835,4.7523
139.835,4.746
140.835,4.7379
141.835,4.7314
142.835,4.7235
143.835,4.7169
144.835,4.7092
145.835,4.7012
146.835,4.694
147.836,4.6869
148.834,4.679
149.835,4.6722
150.836,4.6656
151.835,4.6581
152.835,4.6512
153.835,4.6435
154.835,4.6368
155.835,4.6302
156.835,4.6226
157.835,4.6156
158.836,4.608
159.835,4.5981
160.835,4.5957
161.836,4.588
162.835,4.5797
163.836,4.5724
164.835,4.5648
165.835,4.5587
166.835,4.552
