t (s),V (mV)
0,7.9239
0.95,7.9139
1.921,7.9082
2.906,7.8979
3.906,7.8895
4.906,7.8814
5.905,7.8733
6.906,7.8654
7.906,7.856
8.92,7.8505
9.906,7.8393
10.906,7.8314
11.905,7.8229
12.906,7.8149
13.906,7.806
14.906,7.7973
15.905,7.7883
16.905,7.7803
17.906,7.7716
18.906,7.7637
19.906,7.7548
20.906,7.7458
21.906,7.7371
22.905,7.729
23.906,7.7217
24.913,7.7158
25.905,7.7044
26.906,7.6957
27.905,7.6868
28.906,7.6794
29.905,7.6705
30.906,7.6623
31.905,7.6541
32.906,7.6459
33.906,7.6371
34.906,7.6298
35.906,7.6217
36.905,7.6129
37.905,7.6046
38.906,7.5972
39.906,7.589
40.906,7.581
41.906,7.5724
42.905,7.5636
43.906,7.5563
44.906,7.5468
45.906,7.5404
46.905,7.5313
47.905,7.5236
48.906,7.5154
49.915,7.5039
50.921,7.4977
51.906,7.4911
52.906,7.4834
53.906,7.475
54.922,7.4655
55.906,7.4591
56.905,7.4516
57.93,7.4404
58.905,7.4336
59.906,7.427
60.906,7.4183
61.905,7.4101
62.906,7.4015
63.906,7.3932
64.906,7.3856
65.905,7.3775
66.906,7.3697
67.905,7.3611
68.906,7.3526
69.906,7.3456
70.906,7.3373
71.906,7.3285
72.906,7.321
73.905,7.3131
74.906,7.3049
75.906,7.2977
76.906,7.2894
77.906,7.2819
78.906,7.2739
79.905,7.2661
80.906,7.2583
81.906,7.251
82.905,7.2431
83.906,7.2347
84.906,7.2272
85.906,7.2202
86.906,7.2117
87.905,7.2043
88.906,7.1964
89.906,7.1876
90.906,7.1808
91.906,7.1728
92.906,7.1659
93.906,7.1576
94.906,7.1501
95.905,7.1427
96.906,7.1352
97.906,7.1281
98.906,7.1209
99.905,7.1133
100.906,7.1052
101.906,7.0975
102.905,7.09
103.906,7.0834
104.906,7.0753
105.905,7.0669
106.906,7.0598
107.906,7.0523
108.906,7.0453
109.905,7.0375
110.906,7.0304
111.905,7.0231
112.906,7.0149
113.905,7.0081
114.906,7.0005
115.906,6.9934
116.905,6.9848
117.906,6.9775
118.906,6.97
119.905,6.9626
120.906,6.9549
121.906,6.9475
122.905,6.9398
123.906,6.9326
124.906,6.9254
125.906,6.9184
126.905,6.9107
127.906,6.9031
128.906,6.8956
129.906,6.8888
130.905,6.8811
131.906,6.8736
132.906,6.8667
133.905,6.8591
134.906,6.8518
135.906,6.845
136.906,6.8377
137.905,6.83
138.905,6.8239
139.906,6.8168
140.906,6.8092
141.905,6.8022
142.905,6.7954
143.906,6.7883
144.905,6.7818
145.906,6.7746
146.906,6.7674
147.905,6.76
148.906,6.753
149.905,6.7468
150.905,6.7395
151.905,6.7322
152.905,6.7255
153.905,6.7187
154.906,6.713
155.905,6.7058
156.905,6.6985
157.905,6.6919
158.905,6.6846
159.905,6.6778
160.906,6.6709
161.906,6.6633
162.906,6.6576
163.905,6.65
164.905,6.6426
165.905,6.6359
166.905,6.6276
167.905,6.6211
168.905,6.6146
169.905,6.6065
170.906,6.6002
171.905,6.593
172.906,6.5861
173.906,6.5798
174.905,6.572
175.905,6.5644
176.906,6.5583
177.905,6.5516
178.905,6.5449
179.905,6.5371
180.905,6.5308
181.905,6.5232
182.905,6.5164
183.905,6.5104
184.905,6.5035
185.905,6.4966
186.905,6.489
187.905,6.4821
188.905,6.476
189.905,6.4686
190.905,6.463
191.905,6.4557
192.905,6.4488
193.905,6.4434
194.905,6.4363
195.905,6.4291
196.905,6.423
197.905,6.4168
198.905,6.4095
199.905,6.4037
200.905,6.397
201.914,6.3901
202.905,6.3832
203.906,6.3766
204.905,6.3711
205.905,6.3653
206.905,6.3585
207.905,6.3524
208.905,6.3441
209.905,6.3365
210.905,6.3288
211.905,6.3215
212.905,6.3154
213.905,6.3089
214.906,6.3037
215.905,6.2989
216.905,6.293
217.905,6.2873
218.905,6.2801
219.905,6.2743
220.905,6.2665
221.905,6.2603
222.905,6.2545
223.905,6.2491
224.905,6.2426
225.905,6.2362
226.906,6.2289
227.905,6.2227
228.906,6.2157
229.905,6.2094
230.905,6.2027
231.905,6.1971
232.905,6.1901
233.905,6.1841
234.905,6.1781
235.905,6.1712
236.905,6.1656
237.905,6.1591
238.905,6.1519
239.905,6.1459
240.905,6.1393
241.905,6.1339
242.905,6.1271
243.905,6.1203
244.905,6.1137
245.906,6.1066
246.905,6.1007
247.905,6.0934
248.905,6.0879
249.905,6.081
250.905,6.0755
251.905,6.0684
252.905,6.0628
253.905,6.0566
254.905,6.0508
255.905,6.0451
256.905,6.0394
257.905,6.0337
258.905,6.0275
259.905,6.0222
260.905,6.0155
261.905,6.0102
262.905,6.0039
263.905,5.9986
264.905,5.9922
265.905,5.9867
266.905,5.981
267.905,5.9751
268.905,5.9672
269.905,5.9632
270.905,5.9579
271.905,5.9511
272.905,5.9476
273.905,5.9403
274.905,5.9348
275.905,5.9278
276.905,5.922
277.906,5.9147
278.923,5.9096
279.906,5.9028
280.905,5.8963
281.905,5.8899
282.905,5.8838
283.905,5.8784
284.905,5.8724
285.905,5.866
286.905,5.8601
287.905,5.8541
288.905,5.8479
289.905,5.8425
290.905,5.8367
291.905,5.8303
292.905,5.824
293.905,5.8184
294.905,5.8121
295.905,5.8058
296.905,5.7989
297.905,5.7937
298.905,5.7875
299.905,5.7822
300.906,5.7766
301.905,5.7713
302.905,5.7647
303.905,5.7588
304.905,5.7535
305.905,5.7474
306.905,5.7421
307.905,5.7361
308.905,5.7312
309.905,5.7259
310.905,5.7202
311.905,5.7141
312.905,5.7103
313.905,5.703
314.905,5.6973
315.905,5.6922
316.905,5.6868
317.905,5.6806
318.905,5.6756
319.905,5.6696
320.905,5.6653
321.905,5.6589
322.905,5.6535
323.905,5.6481
324.905,5.6424
325.905,5.6366
326.906,5.6308
327.905,5.6255
328.905,5.6196
329.905,5.6138
330.905,5.6083
331.905,5.6035
332.905,5.5967
333.906,5.5916
334.905,5.5862
335.905,5.5806
336.905,5.5755
337.905,5.5708
338.906,5.5657
339.905,5.56
340.905,5.5544
341.905,5.55
342.905,5.5438
343.906,5.539
344.905,5.5329
345.905,5.5273
346.905,5.5217
347.905,5.5161
348.905,5.5101
349.905,5.5044
350.905,5.4989
351.905,5.4921
352.905,5.4872
353.905,5.481
354.905,5.4757
355.905,5.4711
356.905,5.4644
357.905,5.4588
358.905,5.453
359.905,5.4475
360.906,5.4412
361.905,5.4365
362.905,5.4308
363.905,5.4252
364.905,5.4197
365.905,5.4131
366.905,5.4083
367.905,5.4024
368.905,5.3968
369.905,5.3912
370.905,5.3865
371.905,5.3804
372.905,5.3745
373.905,5.3699
374.905,5.3648
375.905,5.3597
376.905,5.3539
377.905,5.3496
378.905,5.3442
379.905,5.3392
380.906,5.3337
381.905,5.3279
382.905,5.324
383.905,5.3183
384.905,5.3136
385.905,5.3084
386.905,5.3032
387.905,5.2978
388.905,5.2919
389.905,5.2871
390.905,5.2815
391.905,5.2776
392.905,5.2721
393.905,5.2672
394.905,5.2617
395.905,5.2572
396.905,5.2518
397.905,5.2468
398.905,5.2425
399.905,5.2367
400.905,5.2321
401.905,5.2273
