Time,Value,Value_2ND, ,DateTime : ( 24 / 11 / 17 -- 12 : 32 : 51 )
"12 : 32 : 53",17.66729920000000, 
"12 : 32 : 54",17.66767690000000, 
"12 : 32 : 55",17.66720770000000, 
"12 : 32 : 56",17.66849700000000, 
"12 : 32 : 57",17.66849890000000, 
"12 : 32 : 58",17.66786380000000, 
"12 : 32 : 59",17.66807170000000, 
"12 : 33 : 00",17.66927710000000, 
"12 : 33 : 01",17.66835020000000, 
"12 : 33 : 02",17.66559210000000, 
"12 : 33 : 03",17.66825670000000, 
"12 : 33 : 04",17.66796300000000, 
"12 : 33 : 05",17.66885560000000, 
"12 : 33 : 06",17.66821280000000, 
"12 : 33 : 07",17.66910550000000, 
"12 : 33 : 08",17.66834250000000, 
"12 : 33 : 09",17.66832160000000, 
"12 : 33 : 10",17.66955940000000, 
"12 : 33 : 11",17.66842460000000, 
"12 : 33 : 12",17.66833680000000, 
"12 : 33 : 13",17.66839210000000, 
"12 : 33 : 14",17.66829870000000, 
"12 : 33 : 15",17.66823000000000, 
"12 : 33 : 16",17.66893000000000, 
"12 : 33 : 17",17.66823190000000, 
"12 : 33 : 18",17.66811750000000, 
"12 : 33 : 19",17.66813650000000, 
"12 : 33 : 20",17.66621970000000, 
"12 : 33 : 21",17.66841310000000, 
"12 : 33 : 22",17.66645050000000, 
"12 : 33 : 23",17.66752430000000, 
"12 : 33 : 24",17.66878120000000, 
"12 : 33 : 25",17.66774360000000, 
"12 : 33 : 26",17.66749760000000, 
"12 : 33 : 27",17.66818040000000, 
"12 : 33 : 28",17.66665640000000, 
"12 : 33 : 29",17.66837120000000, 
"12 : 33 : 30",17.66803550000000, 
"12 : 33 : 31",17.66820900000000, 
"12 : 33 : 32",17.66832540000000, 
"12 : 33 : 33",17.66942400000000, 
"12 : 33 : 34",17.66792480000000, 
"12 : 33 : 35",17.66938200000000, 
"12 : 33 : 36",17.66813080000000, 
"12 : 33 : 37",17.66862480000000, 
"12 : 33 : 38",17.66807170000000, 
"12 : 33 : 39",17.66830060000000, 
"12 : 33 : 40",17.66870680000000, 
"12 : 33 : 41",17.66622350000000, 
"12 : 33 : 42",17.66804120000000, 
"12 : 33 : 43",17.66824340000000, 
"12 : 33 : 44",17.66775700000000, 
"12 : 33 : 45",17.66793820000000, 
"12 : 33 : 46",17.66888230000000, 
"12 : 33 : 47",17.66799920000000, 
"12 : 33 : 48",17.66717330000000, 
"12 : 33 : 49",17.66819760000000, 
"12 : 33 : 50",17.66777990000000, 
"12 : 33 : 51",17.66905590000000, 
"12 : 33 : 52",17.66845890000000, 
"12 : 33 : 53",17.66897200000000, 
"12 : 33 : 54",17.66836160000000, 
"12 : 33 : 55",17.66898910000000, 
"12 : 33 : 56",17.66929810000000, 
"12 : 33 : 57",17.66836160000000, 
"12 : 33 : 58",17.66850850000000, 
"12 : 33 : 59",17.66823760000000, 
"12 : 34 : 00",17.66915510000000, 
"12 : 34 : 01",17.66839590000000, 
"12 : 34 : 02",17.66878890000000, 
"12 : 34 : 03",17.66880600000000, 
"12 : 34 : 04",17.66672510000000, 
"12 : 34 : 05",17.66867820000000, 
"12 : 34 : 06",17.66701120000000, 
"12 : 34 : 07",17.66843030000000, 
"12 : 34 : 08",17.66891090000000, 
"12 : 34 : 09",17.66896240000000, 
"12 : 34 : 10",17.66889190000000, 
"12 : 34 : 11",17.66826050000000, 
"12 : 34 : 12",17.66843790000000, 
"12 : 34 : 13",17.66886520000000, 
"12 : 34 : 14",17.66779130000000, 
"12 : 34 : 15",17.66847410000000, 
"12 : 34 : 16",17.66925430000000, 
"12 : 34 : 17",17.66850850000000, 
"12 : 34 : 18",17.66889190000000, 
"12 : 34 : 19",17.67017170000000, 
"12 : 34 : 20",17.66914740000000, 
"12 : 34 : 21",17.66753570000000, 
"12 : 34 : 22",17.66826050000000, 
"12 : 34 : 23",17.66836920000000, 
"12 : 34 : 24",17.66810410000000, 
"12 : 34 : 25",17.66915130000000, 
"12 : 34 : 26",17.66935150000000, 
"12 : 34 : 27",17.66955750000000, 
"12 : 34 : 28",17.66933440000000, 
"12 : 34 : 29",17.66989700000000, 
"12 : 34 : 30",17.66999240000000, 
"12 : 34 : 31",17.66776840000000, 
"12 : 34 : 32",17.66819760000000, 
"12 : 34 : 33",17.66825290000000, 
"12 : 34 : 34",17.66752240000000, 
"12 : 34 : 35",17.66799540000000, 
"12 : 34 : 36",17.66779890000000, 
"12 : 34 : 37",17.66730880000000, 
"12 : 34 : 38",17.66862670000000, 
"12 : 34 : 39",17.66748800000000, 
"12 : 34 : 40",17.66839980000000, 
"12 : 34 : 41",17.66838450000000, 
"12 : 34 : 42",17.66898530000000, 
"12 : 34 : 43",17.66908450000000, 
"12 : 34 : 44",17.66892240000000, 
"12 : 34 : 45",17.66881170000000, 
"12 : 34 : 46",17.66871450000000, 
"12 : 34 : 47",17.67128180000000, 
"12 : 34 : 48",17.66739650000000, 
"12 : 34 : 49",17.66868780000000, 
"12 : 34 : 50",17.66753000000000, 
"12 : 34 : 51",17.66704550000000, 
"12 : 34 : 52",17.66882890000000, 
"12 : 34 : 53",17.66892240000000, 
"12 : 34 : 54",17.66808890000000, 
"12 : 34 : 55",17.66833300000000, 
"12 : 34 : 56",17.66252510000000, 
"12 : 34 : 57",17.65390770000000, 
"12 : 34 : 58",17.64518540000000, 
"12 : 34 : 59",17.63436120000000, 
"12 : 35 : 00",17.62503240000000, 
"12 : 35 : 01",17.61498260000000, 
"12 : 35 : 02",17.60607710000000, 
"12 : 35 : 03",17.59644500000000, 
